"","bathy.mean"
"459",8.4
"460",8.625
"461",9.85
"462",9.35
"463",8.85
"464",12.05
"465",10.325
"466",9.7
"467",8.65
"468",10.375
"469",9.9
"470",7.6
"471",9.925
"472",11.75
"473",9.825
"474",11.425
"475",12.775
"476",10.5
"477",5.025
"478",9.5
"479",7.7
"480",7.375
"481",9
"482",11.1
"483",7.825
"484",7.475
"485",8.675
"486",6.85
"487",7.8
"488",8.475
"489",11.025
"490",7.25
"491",7.5
"492",8.55
"493",10.025
"494",11.475
"495",8.6
"496",6.875
"497",7.15
"498",8.025
"499",9.3
"500",8.15
"501",10.275
"502",17.375
"503",7.475
"504",10.85
"505",8.45
"506",12.6
"507",7.625
"508",9.5
"509",10.5
"510",8.75
"511",7.175
"512",9.15
"513",8.125
"514",11.3
"515",9.875
"516",10.6
"517",6.35
"518",9.825
"519",10.725
"520",6.625
"521",9.25
"522",7.975
"523",8.35
"524",10.8
"525",6.575
"526",7.725
"527",7.875
"528",4.875
"529",8.375
"530",10.2
"531",8.6
"532",8.65
"533",8.325
"534",10.8
"535",8.7
"536",7.15
"537",5.325
"538",7.925
"539",7.55
"540",8.1
"541",8.575
"542",7.9
"543",13.35
"544",8.575
"545",6.025
"546",9.2
"547",9.3
"548",10.8
"549",9.45
"550",7.275
"551",8.8
"552",6.275
"553",7.775
"554",8.225
"555",8.1
"556",9.8
"557",7.825
"558",5.875
"559",8.625
"560",7.875
"561",7.525
"562",9.075
"563",7.3
"564",8.8
"565",7.825
"566",7.5
"567",7.15
"568",10.15
"569",9.75
"570",7.75
"571",9
"572",8.225
"573",10.15
"574",8.85
"575",9.325
"576",5.925
"577",7.25
"578",9.05
"579",8.875
"580",8.5
"581",10.375
"582",8.95
"583",8.8
"584",7.425
"585",7.05
"586",8.675
"587",8.525
"588",9.95
"589",9.825
"590",13.15
"591",10.2
"592",7.85
"593",8.65
"594",9.225
"595",8
"596",10.475
"597",6.725
"598",8.95
"599",8.65
"600",8.95
"601",8.225
"602",7.675
"603",8.3
"604",8
"605",7.825
"606",8.525
"607",9.2
"608",9.7
"609",11.85
"610",10.95
"611",11
"612",9.55
"613",9.1
"614",8.175
"615",8.85
"616",7.875
"617",9.35
"618",8.1
"619",9.5
"620",8.275
"621",7.325
"622",7.65
"623",9.25
"624",6.2
"625",11.675
"626",9.4
"627",9.875
"628",7.375
"629",9.6
"630",7.35
"631",9.35
"632",8.525
"633",9.925
"634",10.8
"635",10.775
"636",7.15
"637",8.05
"638",9.15
"639",9.5
"640",13.275
"641",8.025
"642",10.625
"643",10.225
"644",9.3
"645",15.65
"646",8.525
"647",9.875
"648",8.775
"649",7.625
"650",8.075
"651",12.525
"652",11.1
