"","relief.mean"
"1",NA
"2",17.55
"3",15.65
"4",12.45
"5",16.625
"6",13.75
"7",14.35
"8",19.025
"9",11.45
"10",20.225
"11",19.5
"12",9.375
"13",19.825
"14",18.5
"15",12.025
"16",14.25
"17",15.975
"18",14
"19",14.6
"20",23.25
"21",19.075
"22",14.35
"23",17.525
"24",18.4
"25",31.4
"26",14.475
"27",20.2
"28",26.425
"29",13.525
"30",10.475
"31",15
"32",12.475
"33",16.2
"34",10.925
"35",17
"36",18.475
"37",20.475
"38",16.4
"39",22.15
"40",17.95
"41",21.625
"42",16.2
"43",15.95
"44",20.7
"45",14.775
"46",13.3
"47",10.025
"48",11.375
"49",14.975
"50",17.45
"51",15.525
"52",19.325
"53",20.4
"54",15.675
"55",22.6
"56",26.375
"57",8.95
"58",15.6
"59",12.45
"60",17.525
"61",21.775
"62",17.75
"63",15.95
"64",26.075
"65",17.7
"66",12.725
"67",27.525
"68",20.75
"69",17.2
"70",17.325
"71",14.025
"72",21.275
"73",11
"74",12.05
"75",11.55
"76",21.9
"77",19.475
"78",17.075
"79",20.175
"80",19.725
"81",20.075
"82",16.425
"83",11.8
"84",19.9
"85",15.3
"86",11.65
"87",17.925
"88",14.95
"89",10.875
"90",17.55
"91",12.775
"92",23.075
"93",18.625
"94",14.7
"95",13.025
"96",13.25
"97",17.175
"98",15.15
"99",12.2
"100",9.425
"101",11.275
"102",10.1
"103",16.375
"104",16.8
"105",14.7
"106",13.225
"107",19.275
"108",14.375
"109",16.075
"110",14.25
"111",24.125
"112",18.95
"113",18.375
"114",24.05
"115",12.825
"116",19.8
"117",17.275
"118",12.725
"119",10.875
"120",22.05
"121",17.4
"122",16.55
"123",7.1
"124",20
"125",16.475
"126",12.5
"127",16.35
"128",15.825
"129",13.65
"130",13.825
"131",13.175
"132",13.925
"133",11.675
"134",14.45
"135",17
"136",23.95
"137",18.25
"138",22.325
"139",18
"140",16.45
"141",17.65
"142",28.95
"143",15.7
"144",13.075
"145",16.425
"146",17.675
"147",15.9
"148",12.925
"149",20.525
"150",14.925
"151",20.725
"152",17.05
"153",9.65
"154",15.8
"155",17.55
"156",17.05
"157",17.125
"158",8.175
"159",16.525
"160",18.975
"161",19.975
"162",17.725
"163",20.65
"164",14.975
"165",17.25
"166",14.725
"167",14.4
"168",20.025
"169",18.5
"170",16.425
"171",12.425
"172",15.35
"173",12.95
"174",12.25
"175",15.65
"176",17.45
"177",21.15
"178",14.425
"179",19.8
"180",17.75
"181",19.95
"182",24.45
"183",15.875
"184",16.725
"185",25.325
"186",22.3
"187",7.625
"188",10.375
"189",17.9
"190",13.25
"191",14.925
"192",12.925
"193",16.825
"194",13.675
"195",14.425
"196",20.65
"197",16.15
"198",17.725
"199",26.075
"200",27.725
"201",15.35
"202",20.9
"203",33.325
"204",14.925
"205",24.875
"206",17.6
"207",14.85
"208",13.025
"209",17.775
"210",19.725
"211",25.05
"212",11.925
"213",17.85
"214",15.225
"215",16.725
"216",17.075
"217",17.125
"218",17.875
"219",15.75
"220",25.775
"221",16.225
"222",19.875
"223",16.625
"224",15.075
"225",12.9
"226",22.825
"227",16.375
"228",23.575
"229",16.25
"230",21.6
"231",13.7
"232",17.6
"233",15.4
"234",17.7
"235",12.075
"236",19.325
"237",18.15
"238",16.6
"239",23.05
"240",9.9
"241",23.975
"242",20.5
"243",24.225
"244",19.625
"245",21.8
"246",7.475
"247",11.475
"248",10.4
"249",11.45
"250",16.1
"251",16.125
"252",16.925
"253",10.925
"254",12.375
"255",13.825
"256",16.25
"257",17.15
"258",8.075
"259",17.4
"260",16.475
"261",18.875
"262",22.6
"263",11.475
"264",9.15
"265",22.075
"266",17.05
"267",21.1
"268",10.675
"269",21.325
"270",21.9
"271",18.6
"272",19.625
"273",16.65
"274",16.05
"275",16.975
"276",13.925
"277",18.325
"278",13.75
"279",22.7
"280",8.325
"281",14.225
"282",14.35
"283",14.45
"284",12.675
"285",21.9
"286",12.625
"287",16.425
"288",13.05
"289",15.075
"290",22.275
"291",17.725
"292",21.6
"293",18.275
"294",16.25
"295",21.125
"296",19.825
"297",14.1
"298",20.25
"299",19.575
"300",18.65
