"","relief.mean"
"301",19
"302",17.075
"303",15.05
"304",24.55
"305",11.5
"306",9.2
"307",17.675
"308",9.275
"309",21.1
"310",9.025
"311",13.975
"312",13
"313",16.075
"314",18.15
"315",19.825
"316",16.275
"317",13
"318",17.65
"319",8.325
"320",22.1
"321",12.6
"322",31.3
"323",17.475
"324",15.775
"325",26.375
"326",21.975
"327",19.675
"328",15.1
"329",23.75
"330",17.775
"331",18.775
"332",13.725
"333",17.2
"334",14.275
"335",20.875
"336",22.425
"337",13.1
"338",24.025
"339",12.55
"340",23.4
"341",15.2
"342",15.725
"343",14.7
"344",19.1
"345",7.475
"346",16.9
"347",21.625
"348",29.25
"349",12.775
"350",25.175
"351",14.075
"352",24.85
"353",7.575
"354",17.75
"355",16.3
"356",14.75
"357",13.975
"358",13.6
"359",12.075
"360",29.725
"361",14.5
"362",15.875
"363",11.6
"364",15.225
"365",15.8
"366",18.975
"367",19.05
"368",20.675
"369",19.875
"370",24.8
"371",9.325
"372",15.6
"373",19.3
"374",17.8
"375",15
"376",18.7
"377",13.95
"378",18.3
"379",14.875
"380",25.6
"381",22.675
"382",17.95
"383",12.95
"384",14.15
"385",7.575
"386",18.4
"387",24.85
"388",18.9
"389",14.1
"390",19.375
"391",14.85
"392",18.5
"393",13.15
"394",20.5
"395",14.55
"396",20.85
"397",11.375
"398",25.375
"399",18.55
"400",20.025
"401",17.525
"402",16.625
"403",10.425
"404",23.475
"405",12.425
"406",14.875
"407",12.15
"408",23.775
"409",26.7
"410",17.3
"411",12.2
"412",13.225
"413",16.15
"414",9.075
"415",19.475
"416",11.475
"417",12.95
"418",16.95
"419",14
"420",18.1
"421",17.5
"422",19.425
"423",17.125
"424",16
"425",14.15
"426",13.825
"427",17.175
"428",25.225
"429",15.5
"430",14.425
"431",15.4
"432",16.625
"433",14.8
"434",10.4
"435",20.175
"436",13.4
"437",12.375
"438",21.7
"439",14.575
"440",18
"441",16.025
"442",16.75
"443",12.1
"444",11.5
"445",13.575
"446",21.55
"447",25
"448",18.55
"449",24.575
"450",22.25
"451",32.975
"452",19.775
"453",9.975
"454",28.2
"455",17.45
"456",19.425
"457",12.75
"458",10.05
"459",15.625
"460",20.2
"461",13.825
"462",17.925
"463",14.825
"464",12.75
"465",19.3
"466",14.9
"467",21.35
"468",19.675
"469",18.975
"470",17.375
"471",12.05
"472",16.65
"473",20.35
"474",14.15
"475",15.525
"476",20.05
"477",11.4
"478",20.6
"479",19.75
"480",14.125
"481",13.925
"482",18.325
"483",16.275
"484",13.4
"485",13.5
"486",14.275
"487",17.775
"488",17.1
"489",21.05
"490",15.75
"491",14.35
"492",11.3
"493",22.775
"494",12.05
"495",15.85
"496",14.625
"497",10.75
"498",20.9
"499",22.2
"500",16.25
"501",12.775
"502",13.025
"503",19.225
"504",12.775
"505",14.2
"506",17.275
"507",13.4
"508",25.125
"509",21.2
"510",16.425
"511",12.25
"512",21.425
"513",19.375
"514",15.4
"515",18.8
"516",14.5
"517",11
"518",17.525
"519",17.425
"520",13.05
"521",18.15
"522",19.4
"523",16.975
"524",13.4
"525",20.125
"526",13.625
"527",19.6
"528",17.45
"529",21.525
"530",11.125
"531",15.15
"532",14.975
"533",13.975
"534",16.95
"535",19.325
"536",9.5
"537",13.175
"538",16.35
"539",10.1
"540",23.575
"541",17.075
"542",14.4
"543",14.75
"544",18.925
"545",12.3
"546",15.025
"547",11.825
"548",7.475
"549",17.575
"550",19.825
"551",12.75
"552",14.375
"553",14.025
"554",17.25
"555",17.775
"556",12.95
"557",23.575
"558",17.6
"559",11.55
"560",17.3
"561",9.2
"562",16.225
"563",26.075
"564",16.775
"565",28.15
"566",11.675
"567",12.125
"568",25
"569",16.225
"570",13.4
"571",17.5
"572",17.7
"573",20.55
"574",18.3
"575",20.825
"576",11.4
"577",15.25
"578",12.85
"579",25.675
"580",27.525
"581",24.425
"582",13.8
"583",23.95
"584",14.975
"585",19.55
"586",16.675
"587",19.325
"588",15.325
"589",12.725
"590",22.35
"591",23.175
"592",15.75
"593",26.1
"594",13.1
"595",20.425
"596",16.875
"597",25.025
"598",13.975
"599",27.15
"600",17.175
"601",12.65
"602",21.1
"603",16.675
"604",22.225
"605",12.325
"606",19.2
"607",15.725
"608",17.4
"609",21.225
"610",12.875
"611",13.4
"612",16.15
"613",19.25
"614",17.225
"615",15.975
"616",13.575
"617",13.95
"618",15.325
"619",16.8
"620",10.925
"621",9.05
"622",12.75
"623",17.15
"624",10.9
"625",14.4
"626",26.225
"627",21.25
"628",16.825
"629",21.075
"630",11.4
"631",25.575
"632",24.5
"633",11.475
"634",19.5
"635",20.075
"636",19.175
"637",12.75
"638",13.775
"639",7.75
"640",12.875
"641",18.575
"642",16.075
"643",17.1
"644",10.95
"645",18.675
"646",18.525
"647",11.45
"648",22.35
"649",22.475
"650",13.95
"651",11.8
"652",14.075
"653",27.3
"654",11.925
"655",17.95
"656",26
"657",15.9
"658",14.8
"659",12.525
"660",14.7
"661",13.9
"662",13.2
"663",14.8
"664",18.5
"665",17.125
"666",13.975
"667",20.15
"668",17.7
"669",17.175
"670",18.225
"671",20.2
"672",22.575
"673",18
"674",29.575
"675",13.125
"676",24.15
"677",13.9
"678",13.375
"679",20.525
"680",21.725
"681",10.625
"682",16.525
"683",21.05
"684",18.5
"685",15.3
"686",21.6
"687",19.35
"688",18.1
"689",14.525
"690",20.15
"691",10.85
"692",21
"693",19.175
"694",8.675
"695",7.425
"696",23.725
"697",29.55
"698",18.625
"699",11.175
"700",17.725
"701",17.5
"702",20.55
"703",20.25
"704",12.3
"705",18.325
"706",19.3
"707",14.225
"708",10.85
"709",16.3
"710",8.675
"711",19.3
"712",21.55
"713",21.8
"714",14.875
"715",14.425
"716",20.925
"717",14.35
"718",21.675
"719",14.775
"720",11.95
"721",14.5
"722",19.45
"723",20.85
"724",18.175
"725",10.825
"726",22.075
"727",15.175
"728",22.275
"729",20.775
"730",15.55
"731",12.95
"732",14.4
"733",18.55
"734",14.225
"735",26.8
"736",18.65
"737",7.375
"738",15
"739",16.05
"740",19.825
"741",15.575
"742",12.275
"743",15.6
"744",19.75
"745",15.65
"746",14.55
"747",16.825
"748",17.775
"749",16.625
"750",18.375
"751",12.2
"752",14
"753",15.95
"754",10.875
"755",14.525
"756",18.425
"757",13.025
"758",21.825
"759",16.675
"760",9.95
"761",23.625
"762",12.45
"763",16.1
"764",32.175
"765",18.925
"766",11.35
"767",19.55
"768",23.15
"769",10.75
"770",16.475
"771",18.875
"772",18.275
"773",12.725
"774",14.75
"775",19.5
"776",17.625
"777",25.175
"778",18.725
"779",14.6
"780",15.575
"781",12.675
"782",9.2
"783",19.4
"784",20.375
"785",11.175
"786",31.75
"787",27.675
"788",15.7
"789",17.6
"790",21.775
"791",9.725
"792",20.25
"793",17.9
"794",26.4
"795",22.875
"796",27.75
"797",13.725
"798",21.85
"799",24
"800",18.675
"801",21.7
"802",18.3
"803",18.15
"804",22.975
"805",24.3
"806",14.725
"807",15.425
"808",13.05
"809",14.35
"810",19
"811",13.8
"812",21.35
"813",11.3
"814",14.875
"815",15.575
"816",14.95
"817",17.575
"818",16
"819",34.1
"820",18.225
"821",9.725
"822",11.325
"823",16.175
"824",16.875
"825",14.175
"826",12.3
"827",15.175
"828",11.75
"829",20.1
"830",13.075
"831",15.775
"832",17.825
"833",19.05
"834",14.475
"835",20.45
"836",15.025
"837",20.1
"838",9.175
"839",16.65
"840",12.1
"841",16.45
"842",14.925
"843",11.875
"844",16.25
"845",15.225
"846",13.675
"847",18
"848",17.25
"849",12.75
"850",17.325
"851",13.3
"852",15.425
"853",9.875
"854",13.125
"855",18.8
"856",15.9
"857",19.825
"858",9.95
"859",11.975
"860",15.5
"861",11.875
"862",19.9
"863",21.8
"864",17.65
"865",17.375
"866",17.15
"867",16.575
"868",18.9
"869",23.05
"870",14.65
"871",14.175
"872",25.325
"873",20.25
"874",12.75
"875",15.65
"876",20.45
"877",21.225
"878",11.9
"879",17.375
"880",19.1
"881",10.475
"882",12.725
"883",19.05
"884",10.05
"885",13.075
"886",18.6
"887",17.1
"888",23
"889",14.575
"890",20.875
"891",10.125
"892",22.4
"893",14.875
"894",14.825
"895",30.25
"896",14.6
"897",16.9
"898",16.025
"899",18.225
"900",27.05
"901",11.525
"902",22.575
"903",13.05
"904",20.725
"905",19.6
"906",24.05
"907",11.625
"908",17.7
"909",18.45
"910",23.125
"911",14.125
"912",11.325
"913",15.975
"914",14.425
"915",18.725
"916",11.925
"917",19.05
"918",22.475
"919",18.325
"920",9.525
"921",21
"922",11.725
"923",18.4
"924",18.8
"925",23.85
"926",17.05
"927",17.7
"928",21.85
"929",16.55
"930",15.3
"931",11.625
"932",13.05
"933",20.55
"934",9.85
"935",24.275
"936",18.425
"937",15.55
"938",17.7
"939",14.925
"940",11.175
"941",25.075
"942",21.575
"943",13.575
"944",15.125
"945",10.325
"946",16.075
"947",14.125
"948",15.95
"949",12.35
"950",21.575
"951",20.75
"952",16.875
"953",22.025
"954",17.15
"955",19.7
"956",11.4
"957",13.575
"958",14.125
"959",24.8
"960",14.325
"961",11.6
"962",14.05
"963",19.625
"964",22.975
"965",8.125
"966",17.425
"967",22.825
"968",14.35
"969",13.9
"970",10.975
"971",15.875
"972",19.75
"973",21.6
"974",15.575
"975",19.425
"976",10.375
"977",10.35
"978",17.725
"979",13.975
"980",11.4
"981",15.725
"982",11.9
"983",14
"984",20.525
"985",15.075
"986",13.775
"987",12.5
"988",12.15
"989",11.025
"990",16.15
"991",14.975
"992",15.325
"993",28.4
"994",33.8
"995",17.825
"996",13.3
"997",25.1
"998",23.85
"999",17.825
"1000",24.55
"1001",31.35
"1002",16.875
"1003",14.475
