Dot Point Measurements																									
																									
Generated: Saturday 28 March 2020 16:12:21																									
																									
filename	frame	time.mins	image.row	image.col	date	location	site.	transect.	latitude	longitude	rugosity	depth	collector	fishing.status	spare	spare.1	broad			fieldofview	relief	bedforms			radius.
10.01.JPG	0		1725	1104													Octocoral/Black	Fan (2D)		Limited	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168912	45.2
10.01.JPG	0		2414	1104													Octocoral/Black	Fan (2D)		Limited	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168912	70.6
10.01.JPG	0		346	1840													Octocoral/Black	Fan (2D)		Limited	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168912	57.5
10.01.JPG	0		1035	1840													Octocoral/Black	Fan (2D)		Limited	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168912	19.2
10.01.JPG	0		1725	1840													Octocoral/Black	Fan (2D)		Limited	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168912	19.2
10.01.JPG	0		2414	1840													Octocoral/Black	Fan (2D)		Limited	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168912	57.5
10.01.JPG	0		346	2576													Octocoral/Black	Fan (2D)		Limited	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168912	70.6
10.01.JPG	0		1035	2576													Octocoral/Black	Fan (2D)		Limited	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168912	45.2
10.01.JPG	0		1725	2576													Octocoral/Black	Fan (2D)		Limited	"5. Exceptional structural complexity, numerous large holes and caves. Vertical wall. ~90 substrate slope."			11168912	45.2
10.01.JPG	0		2414	2576													Unconsolidated	Sand / mud (fine sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.			82001015	70.6
10.01.JPG	0		346	3311													Open Water			Open					100
10.01.JPG	0		1035	3311													Sponges	Erect forms		Open	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.			10000912	84
