"","bathymetry","response","se.fit"
"1",-178.383865356445,0.372981686137064,0.275991811266595
"2",-171.924870741994,0.408150355138226,0.284334222309733
"3",-165.465876127544,0.446634892831702,0.292125421273806
"4",-159.006881513093,0.488747689699825,0.299291057502511
"5",-152.547886898643,0.534830522320183,0.305784637144528
"6",-146.088892284192,0.58525731146185,0.311608008244122
"7",-139.629897669742,0.640437138272245,0.31684147000976
"8",-133.170903055291,0.700817542614337,0.321687395682313
"9",-126.711908440841,0.766888129846517,0.326532235752245
"10",-120.25291382639,0.839184514776089,0.332031990966581
"11",-113.79391921194,0.918292634180905,0.33922362970777
"12",-107.334924597489,1.00485346220276,0.349654219465022
"13",-100.875929983039,1.09956816609341,0.365489944556063
"14",-94.416935368588,1.20320374326884,0.389509221040037
"15",-87.9579407541375,1.31659952986987,0.424845521346878
"16",-81.4989461396869,1.44067512151273,0.474504723841887
"17",-75.0399515252364,1.57643725276466,0.541018262805156
"18",-68.5809569107859,1.72498779031271,0.626507034737795
"19",-62.1219622963353,1.88753275822062,0.732956601163209
"20",-55.6629676818848,2.06539222406572,0.86245298338683
