"","ID","bathymetry","TPI","sample","scientific","maxn","longitude","latitude"
"1",1,-89.4551010131836,0.0406838357448578,6.04,"Acanthuridae Acanthurus grammoptilus",0,760863.057192233,7481723.50636682
"2",2,-90.9299240112305,-0.050831638276577,6.05,"Acanthuridae Acanthurus grammoptilus",0,760980.795984866,7482893.46094986
"3",3,-95.1537399291992,0.142544746398926,6.12,"Acanthuridae Acanthurus grammoptilus",0,761074.116123975,7484063.8338796
"4",4,-79.7921295166016,0.0863062366843224,7.01,"Acanthuridae Acanthurus grammoptilus",0,761994.724647816,7483640.36856162
"5",5,-78.8450927734375,-0.0627537444233894,7.02,"Acanthuridae Acanthurus grammoptilus",0,762243.663078039,7483916.33786622
"6",6,-77.537353515625,-0.140930309891701,7.03,"Acanthuridae Acanthurus grammoptilus",0,762476.090298544,7484651.19094084
"7",7,-70.3975296020508,-0.00435680104419589,7.04,"Acanthuridae Acanthurus grammoptilus",0,763252.438954012,7484357.52638535
"8",8,-67.7771682739258,0.00293297809548676,7.05,"Acanthuridae Acanthurus grammoptilus",0,764299.940499012,7484211.98347622
"9",9,-67.5841751098633,-0.0166199840605259,7.08,"Acanthuridae Acanthurus grammoptilus",0,764540.521894601,7484003.97630259
"10",10,-89.079948425293,0.526582837104797,8.01,"Acanthuridae Acanthurus grammoptilus",0,761913.859428033,7486036.6765009
"11",11,-80.2089385986328,0.923622250556946,8.02,"Acanthuridae Acanthurus grammoptilus",0,762567.507192634,7487120.97231703
"12",12,-64.9225158691406,0.0362119898200035,8.05,"Acanthuridae Acanthurus grammoptilus",0,765036.916426606,7487197.3720496
"13",13,-63.8236236572266,-0.00767078530043364,8.06,"Acanthuridae Acanthurus grammoptilus",0,765215.02745971,7487802.6125547
"14",14,-65.5418014526367,0.148975670337677,8.07,"Acanthuridae Acanthurus grammoptilus",0,764832.138995991,7487896.80727465
"15",15,-99.5442276000977,-0.0393386706709862,8.12,"Acanthuridae Acanthurus grammoptilus",0,761695.080688299,7487518.1443205
"16",16,-117.573989868164,-0.0350268818438053,9.01,"Acanthuridae Acanthurus grammoptilus",0,760519.168204034,7487308.98960317
"17",17,-162.654724121094,-0.0211295951157808,9.02,"Acanthuridae Acanthurus grammoptilus",0,759027.631303557,7487207.02515307
"18",18,-136.033355712891,-0.0687120333313942,9.06,"Acanthuridae Acanthurus grammoptilus",1,760119.739825218,7488232.99807277
"19",19,-132.870834350586,-0.0665610581636429,9.07,"Acanthuridae Acanthurus grammoptilus",0,759427.087449943,7486283.04916743
"20",20,-178.383865356445,-0.0571325607597828,9.08,"Acanthuridae Acanthurus grammoptilus",0,758203.779415503,7486150.96938823
"21",21,-97.585807800293,0.104066781699657,10.01,"Acanthuridae Acanthurus grammoptilus",0,762667.658995623,7490100.15569396
"22",22,-99.3325729370117,0.0609821788966656,10.02,"Acanthuridae Acanthurus grammoptilus",0,762672.481205213,7490380.32767487
"23",23,-90.8180694580078,-0.144142180681229,10.03,"Acanthuridae Acanthurus grammoptilus",0,763340.653483073,7490878.37260373
"24",24,-161.060394287109,-0.0369151346385479,10.09,"Acanthuridae Acanthurus grammoptilus",0,763066.279616948,7495267.17920371
"25",25,-165.15934753418,0.00985708460211754,10.11,"Acanthuridae Acanthurus grammoptilus",0,763517.963020068,7496528.13186412
"26",26,NA,NA,10.12,"Acanthuridae Acanthurus grammoptilus",0,765014.537001473,7498893.50295101
"27",27,-82.1236267089844,-0.0755893811583519,10.13,"Acanthuridae Acanthurus grammoptilus",0,765062.805497171,7494255.3888656
"28",28,-74.9313430786133,0.103835061192513,10.14,"Acanthuridae Acanthurus grammoptilus",0,766392.295086729,7495783.60009627
"29",29,-88.7407073974609,0.105500407516956,10.15,"Acanthuridae Acanthurus grammoptilus",0,766667.305747999,7497791.83346488
"30",30,-89.4551010131836,0.0406838357448578,6.04,"Acanthuridae Acanthurus mata",0,760863.057192233,7481723.50636682
"31",31,-90.9299240112305,-0.050831638276577,6.05,"Acanthuridae Acanthurus mata",0,760980.795984866,7482893.46094986
"32",32,-95.1537399291992,0.142544746398926,6.12,"Acanthuridae Acanthurus mata",0,761074.116123975,7484063.8338796
"33",33,-79.7921295166016,0.0863062366843224,7.01,"Acanthuridae Acanthurus mata",0,761994.724647816,7483640.36856162
"34",34,-78.8450927734375,-0.0627537444233894,7.02,"Acanthuridae Acanthurus mata",0,762243.663078039,7483916.33786622
"35",35,-77.537353515625,-0.140930309891701,7.03,"Acanthuridae Acanthurus mata",0,762476.090298544,7484651.19094084
"36",36,-70.3975296020508,-0.00435680104419589,7.04,"Acanthuridae Acanthurus mata",0,763252.438954012,7484357.52638535
"37",37,-67.7771682739258,0.00293297809548676,7.05,"Acanthuridae Acanthurus mata",0,764299.940499012,7484211.98347622
"38",38,-67.5841751098633,-0.0166199840605259,7.08,"Acanthuridae Acanthurus mata",0,764540.521894601,7484003.97630259
"39",39,-89.079948425293,0.526582837104797,8.01,"Acanthuridae Acanthurus mata",0,761913.859428033,7486036.6765009
"40",40,-80.2089385986328,0.923622250556946,8.02,"Acanthuridae Acanthurus mata",0,762567.507192634,7487120.97231703
"41",41,-64.9225158691406,0.0362119898200035,8.05,"Acanthuridae Acanthurus mata",0,765036.916426606,7487197.3720496
"42",42,-63.8236236572266,-0.00767078530043364,8.06,"Acanthuridae Acanthurus mata",0,765215.02745971,7487802.6125547
"43",43,-65.5418014526367,0.148975670337677,8.07,"Acanthuridae Acanthurus mata",0,764832.138995991,7487896.80727465
