"","bathymetry","sqrt.slope","cube.Aspect","log.roughness","FlowDir","distance.to.ramp","status"
"Legal",0.108,0.17,0.031,0.702,0.102,0,0.897
"Sublegal",0.593,0.054,0.399,0.045,0.111,0.685,0.022
