"","distance.to.ramp","response","se.fit"
"1",6.59747106467044,0.154807249384687,0.124367129553074
"2",10.0563721711965,0.222604673044959,0.163934789148713
"3",13.5152732777226,0.31822381824585,0.218607153900434
"4",16.9741743842487,0.449616181098278,0.295824437612921
"5",20.4330754907747,0.624190924607903,0.405403686173389
"6",23.8919765973008,0.846476015546859,0.557602349133027
"7",27.3508777038269,1.1147795067523,0.759332356182809
"8",30.809778810353,1.41741110234851,1.00858750195478
"9",34.2686799168791,1.72977908221292,1.28864651689653
"10",37.7275810234051,2.01432169921889,1.56524729344202
"11",41.1864821299312,2.22518346037324,1.79015942717226
"12",44.6453832364573,2.31823276385625,1.91282941508048
"13",48.1042843429834,2.26443988659649,1.8977390722669
"14",51.5631854495094,2.069582477437,1.74793014786816
"15",55.0220865560355,1.78413004717218,1.51446399086206
"16",58.4809876625616,1.46494661256526,1.25374537590067
"17",61.9398887690877,1.15690661889588,1.00663116967984
"18",65.3987898756137,0.887331147778709,0.794187547823544
"19",68.8576909821398,0.667442344932367,0.622164148343432
"20",72.3165920886659,0.497178214574123,0.487845603634391
