"","log.roughness","status","response","se.fit"
"1",0.0708192056526443,"F",2.57904681276218,0.623857742199431
"2",0.0708192056526443,"NT",0.518379233650285,0.199140470954865
"3",0.232629342638734,"F",2.59680921165257,0.496204511489154
"4",0.232629342638734,"NT",1.13703703620732,0.311571254877567
"5",0.394439479624824,"F",2.60879609845521,0.384988661959174
"6",0.394439479624824,"NT",2.32939652322281,0.439217743773879
"7",0.556249616610914,"F",2.60902824200566,0.304986430919109
"8",0.556249616610914,"NT",4.16289855057637,0.611378563118594
"9",0.718059753597004,"F",2.59164343678106,0.269714795988173
"10",0.718059753597004,"NT",6.06140943113113,0.880772597419614
"11",0.879869890583093,"F",2.55150698000232,0.27436163833865
"12",0.879869890583093,"NT",6.7385790771429,1.01203272669149
"13",1.04168002756918,"F",2.48830588314954,0.299453363908352
"14",1.04168002756918,"NT",5.62517238426848,0.855950969462251
"15",1.20349016455527,"F",2.40535028550447,0.332365527847597
"16",1.20349016455527,"NT",3.59588714845359,0.640144290006027
"17",1.36530030154136,"F",2.30629711966749,0.369211250035127
"18",1.36530030154136,"NT",1.79677691038789,0.45883408231906
"19",1.52711043852745,"F",2.19487275479445,0.409814537430651
"20",1.52711043852745,"NT",0.716333604859783,0.274398012501656
"21",1.68892057551354,"F",2.07470047664013,0.454281735368829
"22",1.68892057551354,"NT",0.232586622317921,0.128059600899521
"23",1.85073071249963,"F",1.94916335186128,0.501728692298999
"24",1.85073071249963,"NT",0.062779456756775,0.0471097185974538
"25",2.01254084948572,"F",1.82130484199152,0.550306723516623
"26",2.01254084948572,"NT",0.0143790093501153,0.0140531467855764
"27",2.17435098647181,"F",1.69376605505476,0.597726139588143
"28",2.17435098647181,"NT",0.00285255578445188,0.00350104576334919
"29",2.3361611234579,"F",1.56875595880802,0.641777509513927
"30",2.3361611234579,"NT",0.00050032046754044,0.000748888173558339
"31",2.49797126044399,"F",1.44804926036711,0.680665667026267
"32",2.49797126044399,"NT",7.91929484867974e-05,0.000141155846399792
"33",2.65978139743008,"F",1.33300589819945,0.713154659940724
"34",2.65978139743008,"NT",1.15468640200292e-05,2.40283597693226e-05
"35",2.82159153441617,"F",1.22460603801828,0.738580670615456
"36",2.82159153441617,"NT",1.58305521145725e-06,3.7822195099022e-06
"37",2.98340167140226,"F",1.12349492615654,0.756789435896134
"38",2.98340167140226,"NT",2.08304052916902e-07,5.63263477095921e-07
"39",3.14521180838835,"F",1.03003274498561,0.768038745779044
"40",3.14521180838835,"NT",2.68524676509119e-08,8.11590364045042e-08
