"","bathymetry","response","se.fit"
"1",-178.383865356445,0.424962210026742,0.366844373254802
"2",-171.924870741994,0.474858034437277,0.391879801935322
"3",-165.465876127544,0.530612219889627,0.418357909106326
"4",-159.006881513093,0.592912574735564,0.446447865075111
"5",-152.547886898643,0.66252765304004,0.476391208705383
"6",-146.088892284192,0.740316232512166,0.508532336029906
"7",-139.629897669742,0.827237904759272,0.543359262275317
"8",-133.170903055291,0.924364908376747,0.581556864992943
"9",-126.711908440841,1.03289535069593,0.624074166288444
"10",-120.25291382639,1.15416798111706,0.672205144011614
"11",-113.79391921194,1.28967869806479,0.727677940993768
"12",-107.334924597489,1.44109899295528,0.792739236128289
"13",-100.875929983039,1.61029655841869,0.870210802650979
"14",-94.416935368588,1.7993583146736,0.963493452666399
"15",-87.9579407541375,2.01061619462199,1.07651534363508
"16",-81.4989461396869,2.24667609575147,1.21366393742461
"17",-75.0399515252364,2.51044994382698,1.3797612811843
"18",-68.5809569107859,2.80519159111648,1.58011285592986
"19",-62.1219622963353,3.13453697554842,1.82061635595268
"20",-55.6629676818848,3.50254899806313,2.10790361599452
