"","sample","scientific","family","genus","species","number","length","site","FB.Length_MAX","MinLegal.WA","Fishing.mortality","Fishing.type","min.length","Cut.off","Size.Class"
"138",14.01,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,197.63016,14,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"157",14.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,252.76519,14,800,"280","Y","C/R",120,80,"Large.sub.legal"
"170",14.12,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,269.2167,14,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"171",14.12,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,398.80059,14,870,"410","Y","C/R",130.5,139.75,"Large.sub.legal"
"179",14.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,389.66224,14,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"199",15.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,277.22641,15,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"202",15.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,237.66493,15,800,"280","Y","C/R",120,80,"Large.sub.legal"
"203",15.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,218.98499,15,800,"280","Y","C/R",120,80,"Large.sub.legal"
"205",15.07,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,256.94109,15,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"213",16.01,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,363.33736,18,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"215",16.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,244.9031,16,800,"280","Y","C/R",120,80,"Large.sub.legal"
"216",16.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,200.67756,16,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"217",16.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,230.21183,16,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"220",17.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,269.96691,17,800,"280","Y","C/R",120,80,"Large.sub.legal"
"223",17.08,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,237.57073,17,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"224",17.08,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,251.66974,17,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"225",17.08,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,249.12081,17,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"226",17.08,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,226.59449,17,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"229",18.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,260.98174,18,800,"280","Y","C/R",120,80,"Large.sub.legal"
"232",18.01,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,257.8648,18,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"233",18.01,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,242.78798,18,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"234",18.01,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,323.30432,18,870,"410","Y","C/R",130.5,139.75,"Large.sub.legal"
"236",18.03,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,201.67864,18,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"239",18.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,274.1322,18,800,"280","Y","C/R",120,80,"Large.sub.legal"
"240",18.07,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,211.49985,18,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"241",18.07,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,253.08101,18,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"242",18.07,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,278.94382,18,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"243",18.07,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,224.91561,18,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"244",18.07,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,220.14175,18,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"251",19.05,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,355.29302,19,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"255",2.07,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,341.39147,2,870,"410","Y","C/R",130.5,139.75,"Large.sub.legal"
"256",2.07,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,393.4005,2,870,"410","Y","C/R",130.5,139.75,"Large.sub.legal"
"258",23.02,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,214.2306,23,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"262",23.09,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,266.94303,23,800,"280","Y","C/R",120,80,"Large.sub.legal"
"278",30.01,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,386.94242,30,870,"410","Y","C/R",130.5,139.75,"Large.sub.legal"
"284",30.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,246.92467,30,800,"280","Y","C/R",120,80,"Large.sub.legal"
"288",30.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,219.63473,30,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"290",30.06,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,128.8522,30,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"291",30.06,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,159.06104,30,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"293",30.06,"Scombridae Scomberomorus commerson","Scombridae","Scomberomorus","commerson",1,492.59705,30,2400,"900","Y","C/R",360,270,"Large.sub.legal"
"297",31.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,267.30274,31,900,"280","Y","C/R",135,72.5,"Large.sub.legal"
"298",31.01,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,334.96571,31,870,"410","Y","C/R",130.5,139.75,"Large.sub.legal"
"299",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,247.77139,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"300",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,267.12207,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"301",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,257.71162,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"302",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,242.92513,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"303",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,230.98409,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"304",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,210.93009,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"305",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,180.50062,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"306",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,249.20953,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"307",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,278.67035,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"308",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,265.65767,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"309",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,240.81546,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"310",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,268.0949,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"311",31.01,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,241.43946,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"314",31.03,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,262.25573,31,350,"280","Y","C/R",52.5,113.75,"Large.sub.legal"
"315",31.03,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,266.18622,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"316",31.03,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,259.47918,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"317",31.04,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,274.81775,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"323",31.04,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,247.19381,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"327",31.06,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,246.43423,31,870,"410","Y","C/R",130.5,139.75,"Large.sub.legal"
"328",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,240.2272,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"329",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,252.55724,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"330",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,222.63938,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"331",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,257.3694,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"332",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,205.06087,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"333",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,233.12427,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"334",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,191.79663,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"335",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,249.03621,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"336",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,250.21656,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"337",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,227.76979,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"338",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,238.50825,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"339",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,276.29661,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"340",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,247.50822,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"341",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,223.54356,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"342",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,222.50412,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"343",31.06,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,243.14956,31,520,"280","Y","C/R",78,101,"Large.sub.legal"
"344",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,242.13933,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"345",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,261.00986,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"346",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,234.73773,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"347",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,272.8469,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"348",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,298.04822,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
"349",31.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,264.54241,31,1160,"410","Y","C/R",174,118,"Large.sub.legal"
