"id","sample","family","genus","species","length","range","type","longitude","latitude","date","time","time.out","site","location","status","depth","observer","maxn.complete.yyyymmdd","maxn.checker","successful.count","successful.length","left.cam","right.cam","rear.cam","video.notes","raw.hd","con.hd","forward.habitat.image.saved","backward.habitat.image.saved","habitat.classification","length.analyst","length.complete.date.yyyymmdd","notes","campaignid"
"1.01",1.01,"Pinguipedidae","Parapercis","nebulosa",65.15812,3187.04998,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Sparidae","Argyrops","spinifer",290.53383,1755.05893,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Synodontidae","Saurida","undosquamis",373.09115,1800.1955,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Synodontidae","Saurida","undosquamis",356.29484,3311.0896,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Tetraodontidae","Lagocephalus","sceleratus",590.07547,2350.82963,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.01",1.01,"Tetraodontidae","Lagocephalus","sceleratus",569.79005,3410.77964,"new",113.5404917,-22.84786205,12082019,09:23:00,10:33:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20199826,"Todd","Yes","Yes",373,374,439,"Lifted up 20 mins in. Test Video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202","Two lat and lons in file given by CSIRO","2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Carangidae","Carangoides","chrysophrys",408.34856,1926.36764,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Carangidae","Carangoides","chrysophrys",362.28865,1896.98773,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Lethrinidae","Gymnocranius","grandoculis",392.78384,2076.28049,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Lethrinidae","Gymnocranius","grandoculis",350.85673,2134.89692,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Lutjanidae","Pristipomoides","multidens",463.4905,1082.30044,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Lutjanidae","Pristipomoides","multidens",543.769,1711.45622,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Lutjanidae","Pristipomoides","multidens",493.37999,2644.96922,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Microdesmidae","Gunnellichthys","monostigma",61.5469,1747.55284,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Sparidae","Argyrops","spinifer",201.79458,3893.19901,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Sparidae","Argyrops","spinifer",283.4247,1640.8325,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Sparidae","Argyrops","spinifer",280.95295,1355.79571,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Sparidae","Argyrops","spinifer",303.78851,1047.88938,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Sparidae","Argyrops","spinifer",281.54962,1755.08689,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.02",1.02,"Synodontidae","Saurida","undosquamis",407.51415,2873.11773,"new",113.5252875,-22.85016136,12082019,09:35:00,10:50:00,1,"Ningaloo Marine Park","NA","?","Brooke Gibbons",20190912,"Todd","Yes","Yes",369,370,422,"Easy test video. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20191202",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Balistidae","Abalistes","filamentosus",315.71629,3285.09546,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Carangidae","Carangoides","chrysophrys",405.91273,2563.73996,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Carangidae","Decapterus","spp",468.83121,2594.6651,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Carangidae","Seriola","dumerili",348.14867,2363.25835,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Carangidae","Seriola","rivoliana",323.03361,2529.45731,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Carangidae","Seriola","rivoliana",313.12212,2088.37183,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Echeneidae","Echeneis","naucrates",215.98898,2447.95299,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Lethrinidae","Gymnocranius","grandoculis",370.06287,2145.52476,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
"1.03",1.03,"Lethrinidae","Lethrinus","miniatus",463.54905,1616.76582,"legacy",113.51304,-22.84437,12082019,09:43:00,10:59:00,1,"Ningaloo Marine Park","NA","?","Charlotte Aston",20190829,"Todd","Yes","Yes",367,368,420,"Hammer after 60 mins. On backwards photos too. Converted wrong.","1","1","Yes","Yes",20200304,"Charlotte Aston","20200409",NA,"2019-08_Ningaloo_stereo-BRUVs"
