"","sample","scientific","family","genus","species","FB.Length_MAX","Fishing.mortality","Fishing.type","MinLegal.WA"
"53",12.11,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"54",12.11,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"55",12.11,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",450,"Y","R",NA
"56",13.02,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",3000,"Y","C/R",NA
"57",13.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"58",13.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"59",13.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"60",13.04,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"61",13.04,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"62",13.05,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",3000,"Y","C/R",NA
"63",13.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"64",13.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"65",14.01,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",3000,"Y","C/R",NA
"66",14.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"67",14.01,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"68",14.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"69",14.01,"Serranidae Variola louti","Serranidae","Variola","louti",830,"Y","C/R",NA
"70",14.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"71",14.02,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"72",14.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"73",14.02,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"74",14.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"75",14.11,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",3000,"Y","C/R",NA
"76",14.11,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"77",14.12,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",980,"Y","C/R",NA
"78",14.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"79",14.12,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"80",14.12,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",870,"Y","C/R",410
"81",14.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"82",14.13,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",980,"Y","C/R",NA
"83",14.13,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"84",14.13,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"85",14.13,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",520,"Y","C/R",280
"86",14.13,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"87",14.13,"Serranidae Epinephelus multinotatus","Serranidae","Epinephelus","multinotatus",1000,"Y","C/R",NA
"88",15.01,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",980,"Y","C/R",NA
"89",15.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"90",15.01,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"91",15.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"92",15.07,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"93",15.07,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"94",15.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"95",15.12,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"96",16.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"97",16.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"98",16.01,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"99",16.03,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",980,"Y","C/R",NA
"100",16.03,"Sparidae Chrysophrys auratus","Sparidae","Chrysophrys","auratus",1300,"Y","C/R",410
"101",16.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"102",16.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"103",16.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"104",16.05,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"105",16.05,"Serranidae Variola louti","Serranidae","Variola","louti",830,"Y","C/R",NA
"106",17.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"107",17.08,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"108",17.08,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",870,"Y","C/R",410
"109",18.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"110",18.01,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"111",18.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"112",18.01,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",870,"Y","C/R",410
"113",18.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"114",18.03,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"115",18.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"116",18.04,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",870,"Y","C/R",410
"117",18.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"118",18.07,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"119",18.07,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"120",18.07,"Lethrinidae Lethrinus olivaceus","Lethrinidae","Lethrinus","olivaceus",1000,"Y","C/R",280
"121",19.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"122",19.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"123",19.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"124",19.03,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",520,"Y","C/R",280
"125",19.03,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"126",19.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"127",19.05,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"128",2.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"129",2.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"130",2.07,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",870,"Y","C/R",410
"131",23.02,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"132",23.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"133",23.06,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",980,"Y","C/R",NA
"134",23.09,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"135",3.01,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"136",3.02,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"137",3.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"138",3.04,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"139",3.04,"Lutjanidae Pristipomoides filamentosus","Lutjanidae","Pristipomoides","filamentosus",1000,"Y","C/R",NA
"140",3.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"141",3.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"142",3.05,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",450,"Y","R",NA
"143",3.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"144",30.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"145",30.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"146",30.04,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",870,"Y","C/R",410
"147",30.04,"Lethrinidae Lethrinus olivaceus","Lethrinidae","Lethrinus","olivaceus",1000,"Y","C/R",280
"148",30.04,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",520,"Y","C/R",280
"149",30.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"150",30.05,"Lutjanidae Symphorus nematophorus","Lutjanidae","Symphorus","nematophorus",1000,"Y","C/R",NA
"151",30.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"152",30.06,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"153",30.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"154",30.06,"Lutjanidae Symphorus nematophorus","Lutjanidae","Symphorus","nematophorus",1000,"Y","C/R",NA
"155",30.06,"Scombridae Scomberomorus commerson","Scombridae","Scomberomorus","commerson",2400,"Y","C/R",900
"156",31.02,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",520,"Y","C/R",280
"157",31.05,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"158",4.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"159",4.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"160",4.01,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",450,"Y","R",NA
"161",4.02,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"162",4.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"163",4.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"164",4.03,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",450,"Y","R",NA
"165",4.11,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"166",4.11,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"167",4.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"168",5.02,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",3000,"Y","C/R",NA
"169",5.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"170",5.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"171",5.08,"Lutjanidae Pristipomoides filamentosus","Lutjanidae","Pristipomoides","filamentosus",1000,"Y","C/R",NA
"172",5.13,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"173",5.13,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"174",6.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"175",6.01,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"176",6.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"177",6.01,"Lutjanidae Pristipomoides filamentosus","Lutjanidae","Pristipomoides","filamentosus",1000,"Y","C/R",NA
"178",6.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"179",6.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"180",6.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"181",6.03,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",870,"Y","C/R",410
"182",6.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"183",6.04,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"184",6.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"185",6.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"186",6.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",900,"Y","C/R",280
"187",6.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
"188",6.12,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",350,"Y","C/R",280
"189",6.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1160,"Y","C/R",410
"190",7.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",800,"Y","C/R",280
