"","X.1","sample","site","longitude","latitude","bathymetry","TPI","Slope","Aspect","TRI","Roughness","FlowDir","mean.relief","sd.relief","reef","sand","distance.to.ramp","status","target.fish"
"1",1,1.01,1,760704.413311933,7471076.48041096,-91.2396850585938,0.0143051110208035,0.00104734883643687,2.10566902160645,0.0225715637207031,0.0733871459960938,2,0.421052631578947,0.507257273501788,0,100,41.3334073950048,"F",0
"2",2,1.02,1,759139.088630274,7470848.59008539,-94.3401260375977,0.000371442671166733,0.00277596293017268,4.05717658996582,0.0635747909545898,0.2210693359375,16,0.88,0.33166247903554,0,100,42.0182997483818,"F",0
"3",3,1.03,1,757892.642934687,7471511.59557176,-99.8489837646484,0.00356643181294203,0.0050726025365293,3.73038148880005,0.16767692565918,0.47003173828125,1,1,0,0,100,43.2809528904714,"F",0
"4",4,1.04,1,758450.495929932,7471955.90421802,-97.1697158813477,-0.00239802710711956,0.00838144868612289,3.44988012313843,0.217530250549316,0.750022888183594,16,0.44,0.506622805119022,0,100,43.32185221552,"F",0
"5",5,1.05,1,758216.838278325,7472636.27720843,-96.7271881103516,0.0250809881836176,0.00729125551879406,4.30391693115234,0.449636459350586,0.739852905273438,4,1,0,0,100,44.015119651945,"F",5
"6",6,1.06,1,758979.268068639,7472915.01743188,-94.5843734741211,-0.0248226933181286,0.00890852231532335,3.80089402198792,0.249538421630859,0.906295776367188,16,0.44,0.506622805119022,0,100,43.8194930186545,"F",0
"7",7,2.02,2,763004.116016707,7472845.65604815,-81.7247085571289,-0.0247571039944887,0.00919785909354687,4.59210634231567,0.173381805419922,0.575553894042969,8,0.904761904761905,0.300792603759119,0,100,41.6687915187281,"F",0
"8",8,2.03,2,763350.493164331,7473119.90043213,-78.1870956420898,-0.007967259734869,0.00992126017808914,4.31852245330811,0.201604843139648,0.780632019042969,8,1,0,0,100,41.7433847679641,"F",0
"9",9,2.04,2,764969.402041116,7473601.24142786,-72.8922500610352,-0.017070796340704,0.00217538210563362,4.3829083442688,0.102385520935059,0.214218139648438,32,0.769230769230769,0.42966892442366,0,100,41.4300376110703,"F",0
"10",10,2.05,2,764509.462089868,7473813.10915261,-72.8874969482422,0.0296640582382679,0.0061947638168931,4.3654260635376,0.121966361999512,0.457420349121094,8,1,0,0,100,41.8245046638938,"F",0
"11",11,2.06,2,763950.150158343,7473924.77695965,-75.1748428344727,-0.00162152131088078,0.0016122538363561,3.98950362205505,0.0319671630859375,0.129676818847656,8,0.961538461538462,0.196116135138184,0,100,42.1772014490365,"F",0
"12",12,2.07,2,763174.369978172,7474218.53435801,-75.0386276245117,-0.007967259734869,0.00864925887435675,0.685713350772858,0.20108699798584,0.654525756835938,64,1.15384615384615,0.784464540552736,0,100,42.7970438863228,"F",2
"13",13,3.01,3,758745.743647833,7474957.21476422,-96.480842590332,0.0270705502480268,0.00672113988548517,4.90820837020874,0.357853889465332,0.809776306152344,4,1,0,0,100,45.6631648403145,"F",0
"14",14,3.02,3,759312.517460543,7475278.7388283,-91.5525283813477,0.0810718238353729,0.0316032283008099,4.95205545425415,0.61186408996582,1.86285400390625,16,1,0,0,100,45.6364342398376,"F",0
"15",15,3.03,3,760099.320257622,7475621.94921576,-83.0476226806641,0.000844992173369974,0.0142229897901416,5.02374696731567,0.281498908996582,0.838180541992188,16,0.884615384615385,0.431455497304005,0,100,45.525620103805,"F",0
"16",16,3.04,3,758615.956024613,7475741.97444774,-98.1128845214844,0.018197026103735,0.00417196936905384,4.38083600997925,0.127132415771484,0.370956420898438,16,0.95,0.510417785534041,0,100,46.3977130326217,"F",0
"17",17,3.05,3,758296.966025603,7475831.10092027,-100.165252685547,0.00702428119257092,0.00790122430771589,5.19060230255127,0.16130256652832,0.503257751464844,16,1.27272727272727,0.827032456426399,13.64,86.36,46.642926997787,"F",0
"18",18,3.06,3,757712.734910524,7475917.47360968,-106.449340820312,0.0441330336034298,0.0215747412294149,4.13424444198608,0.461901664733887,1.19562530517578,8,0.347826086956522,0.831684798913075,0,100,47.0299964415854,"F",0
"19",19,4.01,4,756327.768621535,7475896.06173514,-124.993957519531,0.00919750239700079,0.0088693629950285,5.17980432510376,0.186003684997559,0.580154418945312,32,2.27777777777778,1.36362646064933,50,50,47.7764631033133,"F",1
"20",20,4.02,4,757761.980661702,7477537.13209278,-111.859069824219,-0.0110612129792571,0.0113864475861192,4.96484279632568,0.230007171630859,0.739540100097656,32,1.80769230769231,1.16684980247608,34.62,65.38,48.3760234872089,"F",1
"21",21,4.03,4,756715.622294866,7477564.91971529,-126.652465820312,0.00580647261813283,0.0177351851016283,4.98507452011108,0.347391128540039,1.09354400634766,16,2.59090909090909,1.50108186094122,40.91,59.09,48.9573861689233,"F",1
"22",22,4.08,4,756503.34963061,7478001.61874967,-132.675109863281,0.0054124086163938,0.0185149647295475,5.01205348968506,0.371124267578125,1.06912231445312,16,2.17391304347826,1.02921743939238,47.83,52.17,49.4402101224174,"F",0
