"","sample","scientific","family","genus","species","number","length","site","FB.Length_MAX","MinLegal.WA","min.length","Fishing.mortality","Fishing.type","Cut.off","Size.Class"
"48",10.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,481.16901,10,900,"280",135,"Y","C/R",72.5,"Legal"
"49",10.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,433.25134,10,900,"280",135,"Y","C/R",72.5,"Legal"
"50",10.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,489.56237,10,900,"280",135,"Y","C/R",72.5,"Legal"
"51",10.03,"Serranidae Variola louti","Serranidae","Variola","louti",1,437.3847,10,830,"None",124.5,"Y","C/R",NA,"Legal"
"52",10.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,330.89111,10,800,"280",120,"Y","C/R",80,"Legal"
"53",10.04,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,294.41239,10,350,"280",52.5,"Y","C/R",113.75,"Legal"
"54",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,358.15161,10,900,"280",135,"Y","C/R",72.5,"Legal"
"55",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,355.7127,10,900,"280",135,"Y","C/R",72.5,"Legal"
"56",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,345.87006,10,900,"280",135,"Y","C/R",72.5,"Legal"
"57",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,338.24563,10,900,"280",135,"Y","C/R",72.5,"Legal"
"58",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,364.27577,10,900,"280",135,"Y","C/R",72.5,"Legal"
"59",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,329.82763,10,900,"280",135,"Y","C/R",72.5,"Legal"
"60",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,378.52573,10,900,"280",135,"Y","C/R",72.5,"Legal"
"61",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,358.91919,10,900,"280",135,"Y","C/R",72.5,"Legal"
"62",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,370.09189,10,900,"280",135,"Y","C/R",72.5,"Legal"
"63",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,344.71401,10,900,"280",135,"Y","C/R",72.5,"Legal"
"64",10.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,340.74618,10,900,"280",135,"Y","C/R",72.5,"Legal"
"65",10.07,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,394.70137,10,900,"280",135,"Y","C/R",72.5,"Legal"
"66",10.07,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,320.67601,10,900,"280",135,"Y","C/R",72.5,"Legal"
"68",10.11,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,319.21409,10,800,"280",120,"Y","C/R",80,"Legal"
"69",10.11,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,338.9798,10,800,"280",120,"Y","C/R",80,"Legal"
"70",10.12,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",1,633.96494,10,980,"None",147,"Y","C/R",NA,"Legal"
"71",10.13,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,466.47168,10,800,"280",120,"Y","C/R",80,"Legal"
"72",10.13,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,528.46207,10,900,"280",135,"Y","C/R",72.5,"Legal"
"73",10.13,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,444.1034,10,900,"280",135,"Y","C/R",72.5,"Legal"
"74",10.13,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,444.79698,10,900,"280",135,"Y","C/R",72.5,"Legal"
"75",10.13,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,509.70511,10,900,"280",135,"Y","C/R",72.5,"Legal"
"76",10.13,"Lutjanidae Pristipomoides filamentosus","Lutjanidae","Pristipomoides","filamentosus",1,616.61612,10,1000,"None",150,"Y","C/R",NA,"Legal"
"77",10.13,"Lutjanidae Pristipomoides filamentosus","Lutjanidae","Pristipomoides","filamentosus",1,622.25185,10,1000,"None",150,"Y","C/R",NA,"Legal"
"78",10.14,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,424.96308,10,800,"280",120,"Y","C/R",80,"Legal"
"79",10.14,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,465.71284,10,800,"280",120,"Y","C/R",80,"Legal"
"80",10.14,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,476.64155,10,800,"280",120,"Y","C/R",80,"Legal"
"81",10.14,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,427.32421,10,800,"280",120,"Y","C/R",80,"Legal"
"82",10.14,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,546.29864,10,870,"410",130.5,"Y","C/R",139.75,"Legal"
"83",10.14,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,493.69645,10,870,"410",130.5,"Y","C/R",139.75,"Legal"
"84",10.14,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,553.14376,10,1160,"410",174,"Y","C/R",118,"Legal"
"85",10.14,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,572.08591,10,1160,"410",174,"Y","C/R",118,"Legal"
"86",10.14,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",1,295.46174,10,450,"None",67.5,"Y","R",NA,"Legal"
"87",10.14,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",1,285.69885,10,450,"None",67.5,"Y","R",NA,"Legal"
"88",10.15,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,474.77007,10,800,"280",120,"Y","C/R",80,"Legal"
"89",10.15,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,499.59437,10,900,"280",135,"Y","C/R",72.5,"Legal"
