"","sample","scientific","family","genus","species","number","length","site","FB.Length_MAX","MinLegal.WA","min.length","Fishing.mortality","Fishing.type","Cut.off","Size.Class"
"192",15.01,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",1,490.10049,15,980,"None",147,"Y","C/R",NA,"Legal"
"193",15.01,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,631.36713,15,1160,"410",174,"Y","C/R",118,"Legal"
"194",15.02,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",1,746.81077,15,980,"None",147,"Y","C/R",NA,"Legal"
"195",15.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,355.21217,15,800,"280",120,"Y","C/R",80,"Legal"
"196",15.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,311.05008,15,800,"280",120,"Y","C/R",80,"Legal"
"197",15.02,"Lethrinidae Lethrinus olivaceus","Lethrinidae","Lethrinus","olivaceus",1,813.24031,15,1000,"280",150,"Y","C/R",65,"Legal"
"198",15.02,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,402.33541,15,520,"280",78,"Y","C/R",101,"Legal"
"200",15.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,460.58149,15,900,"280",135,"Y","C/R",72.5,"Legal"
"201",15.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,286.50084,15,800,"280",120,"Y","C/R",80,"Legal"
"204",15.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,287.49201,15,800,"280",120,"Y","C/R",80,"Legal"
"206",15.07,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,343.47264,15,900,"280",135,"Y","C/R",72.5,"Legal"
"207",15.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,360.5722,15,800,"280",120,"Y","C/R",80,"Legal"
"208",15.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,354.6369,15,800,"280",120,"Y","C/R",80,"Legal"
"209",15.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,366.13151,15,800,"280",120,"Y","C/R",80,"Legal"
"210",15.12,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,364.12927,15,900,"280",135,"Y","C/R",72.5,"Legal"
"211",16.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,301.67937,18,800,"280",120,"Y","C/R",80,"Legal"
"212",16.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,369.07016,18,900,"280",135,"Y","C/R",72.5,"Legal"
"214",16.03,"Sparidae Chrysophrys auratus","Sparidae","Chrysophrys","auratus",1,473.03861,16,1300,"410",195,"Y","C/R",107.5,"Legal"
"218",16.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,324.20411,16,900,"280",135,"Y","C/R",72.5,"Legal"
"219",16.05,"Serranidae Variola louti","Serranidae","Variola","louti",1,465.90174,16,830,"None",124.5,"Y","C/R",NA,"Legal"
"221",17.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,368.11194,17,800,"280",120,"Y","C/R",80,"Legal"
"222",17.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,303.54374,17,800,"280",120,"Y","C/R",80,"Legal"
"227",17.08,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,479.02085,17,870,"410",130.5,"Y","C/R",139.75,"Legal"
"228",18.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,281.58624,18,800,"280",120,"Y","C/R",80,"Legal"
"230",18.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,342.69905,18,800,"280",120,"Y","C/R",80,"Legal"
"231",18.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,332.42077,18,800,"280",120,"Y","C/R",80,"Legal"
"235",18.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,324.6252,18,800,"280",120,"Y","C/R",80,"Legal"
"237",18.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,336.13358,18,800,"280",120,"Y","C/R",80,"Legal"
"238",18.04,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,428.58962,18,870,"410",130.5,"Y","C/R",139.75,"Legal"
"245",18.07,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,320.24143,18,900,"280",135,"Y","C/R",72.5,"Legal"
"246",19.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,334.80325,19,800,"280",120,"Y","C/R",80,"Legal"
"247",19.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,440.8231,19,800,"280",120,"Y","C/R",80,"Legal"
"248",19.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,468.81024,19,800,"280",120,"Y","C/R",80,"Legal"
"249",19.03,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,518.76672,19,1160,"410",174,"Y","C/R",118,"Legal"
"250",19.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,335.3344,19,900,"280",135,"Y","C/R",72.5,"Legal"
"252",2.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,562.0381,2,800,"280",120,"Y","C/R",80,"Legal"
"253",2.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,403.89714,2,800,"280",120,"Y","C/R",80,"Legal"
"254",2.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,393.29417,2,800,"280",120,"Y","C/R",80,"Legal"
"257",2.07,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,422.35141,2,870,"410",130.5,"Y","C/R",139.75,"Legal"
"259",23.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,341.90396,23,800,"280",120,"Y","C/R",80,"Legal"
"260",23.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,346.51014,23,800,"280",120,"Y","C/R",80,"Legal"
"261",23.06,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",1,492.95612,23,980,"None",147,"Y","C/R",NA,"Legal"
"263",3.01,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,479.20365,3,1160,"410",174,"Y","C/R",118,"Legal"
"264",3.02,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,463.9236,3,1160,"410",174,"Y","C/R",118,"Legal"
"265",3.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,368.53605,3,800,"280",120,"Y","C/R",80,"Legal"
"266",3.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,329.50628,3,800,"280",120,"Y","C/R",80,"Legal"
"267",3.04,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,484.29268,3,1160,"410",174,"Y","C/R",118,"Legal"
"268",3.04,"Lutjanidae Pristipomoides filamentosus","Lutjanidae","Pristipomoides","filamentosus",1,481.67219,3,1000,"None",150,"Y","C/R",NA,"Legal"
"269",3.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,378.89802,3,800,"280",120,"Y","C/R",80,"Legal"
"270",3.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,305.61439,3,800,"280",120,"Y","C/R",80,"Legal"
"271",3.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,343.94883,3,800,"280",120,"Y","C/R",80,"Legal"
"272",3.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,420.65198,3,900,"280",135,"Y","C/R",72.5,"Legal"
"273",3.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,366.30944,3,900,"280",135,"Y","C/R",72.5,"Legal"
"274",3.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,387.17377,3,900,"280",135,"Y","C/R",72.5,"Legal"
"275",3.05,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",1,243.24897,3,450,"None",67.5,"Y","R",NA,"Legal"
"276",3.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,369.00181,3,800,"280",120,"Y","C/R",80,"Legal"
"277",30.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,337.19376,30,800,"280",120,"Y","C/R",80,"Legal"
"279",30.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,408.46822,30,800,"280",120,"Y","C/R",80,"Legal"
"280",30.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,394.55441,30,800,"280",120,"Y","C/R",80,"Legal"
"281",30.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,386.45455,30,800,"280",120,"Y","C/R",80,"Legal"
"282",30.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,354.03435,30,800,"280",120,"Y","C/R",80,"Legal"
"283",30.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,334.99361,30,800,"280",120,"Y","C/R",80,"Legal"
"285",30.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,290.4484,30,800,"280",120,"Y","C/R",80,"Legal"
"286",30.04,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,522.26889,30,870,"410",130.5,"Y","C/R",139.75,"Legal"
"287",30.05,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,290.06632,30,350,"280",52.5,"Y","C/R",113.75,"Legal"
"289",30.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,399.31206,30,800,"280",120,"Y","C/R",80,"Legal"
"292",30.06,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,505.30008,30,1160,"410",174,"Y","C/R",118,"Legal"
"294",31.01,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",1,680.41108,31,980,"None",147,"Y","C/R",NA,"Legal"
"295",31.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,394.55524,31,900,"280",135,"Y","C/R",72.5,"Legal"
"296",31.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,289.1196,31,900,"280",135,"Y","C/R",72.5,"Legal"
"312",31.01,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,521.28488,31,1160,"410",174,"Y","C/R",118,"Legal"
"313",31.02,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,286.55629,31,520,"280",78,"Y","C/R",101,"Legal"
"318",31.04,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,292.56157,31,520,"280",78,"Y","C/R",101,"Legal"
"319",31.04,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,285.60369,31,520,"280",78,"Y","C/R",101,"Legal"
"320",31.04,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,287.94037,31,520,"280",78,"Y","C/R",101,"Legal"
"321",31.04,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,297.84615,31,520,"280",78,"Y","C/R",101,"Legal"
"322",31.04,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,292.00385,31,520,"280",78,"Y","C/R",101,"Legal"
"324",31.04,"Serranidae Epinephelus multinotatus","Serranidae","Epinephelus","multinotatus",1,615.46955,31,1000,"None",150,"Y","C/R",NA,"Legal"
"325",31.05,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,497.97647,31,1160,"410",174,"Y","C/R",118,"Legal"
"326",31.06,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,366.51452,31,900,"280",135,"Y","C/R",72.5,"Legal"
"357",4.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,403.86332,4,800,"280",120,"Y","C/R",80,"Legal"
"359",4.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,386.03865,4,800,"280",120,"Y","C/R",80,"Legal"
"360",4.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,379.8992,4,900,"280",135,"Y","C/R",72.5,"Legal"
"361",4.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,356.70544,4,900,"280",135,"Y","C/R",72.5,"Legal"
"362",4.01,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",1,274.97726,4,450,"None",67.5,"Y","R",NA,"Legal"
"364",4.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,470.07802,4,900,"280",135,"Y","C/R",72.5,"Legal"
"365",4.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,449.8953,4,900,"280",135,"Y","C/R",72.5,"Legal"
"366",4.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,418.70917,4,900,"280",135,"Y","C/R",72.5,"Legal"
"367",4.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,376.5804,4,900,"280",135,"Y","C/R",72.5,"Legal"
"369",4.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,392.24033,4,800,"280",120,"Y","C/R",80,"Legal"
"370",4.03,"Serranidae Epinephelus rivulatus","Serranidae","Epinephelus","rivulatus",1,163.52484,4,450,"None",67.5,"Y","R",NA,"Legal"
"371",4.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,325.95504,4,800,"280",120,"Y","C/R",80,"Legal"
"372",4.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,332.93706,4,800,"280",120,"Y","C/R",80,"Legal"
"373",4.08,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,340.76064,4,900,"280",135,"Y","C/R",72.5,"Legal"
"374",4.08,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,350.45331,4,900,"280",135,"Y","C/R",72.5,"Legal"
"375",4.08,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,350.69759,4,900,"280",135,"Y","C/R",72.5,"Legal"
"376",4.11,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,317.27396,4,800,"280",120,"Y","C/R",80,"Legal"
"377",4.11,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,531.54035,4,900,"280",135,"Y","C/R",72.5,"Legal"
"378",4.11,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,341.60425,4,900,"280",135,"Y","C/R",72.5,"Legal"
"379",4.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,398.0676,4,800,"280",120,"Y","C/R",80,"Legal"
"380",5.02,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",1,1511.98984,5,3000,"None",450,"Y","C/R",NA,"Legal"
"381",5.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,429.04727,5,800,"280",120,"Y","C/R",80,"Legal"
"382",5.08,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,389.13894,5,800,"280",120,"Y","C/R",80,"Legal"
"383",5.08,"Lutjanidae Pristipomoides filamentosus","Lutjanidae","Pristipomoides","filamentosus",1,334.14985,5,1000,"None",150,"Y","C/R",NA,"Legal"
"384",6.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,396.31019,6,800,"280",120,"Y","C/R",80,"Legal"
"385",6.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,426.99565,6,800,"280",120,"Y","C/R",80,"Legal"
"386",6.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,455.76389,6,800,"280",120,"Y","C/R",80,"Legal"
"387",6.01,"Lethrinidae Gymnocranius griseus","Lethrinidae","Gymnocranius","griseus",1,285.81958,6,350,"280",52.5,"Y","C/R",113.75,"Legal"
"388",6.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,477.79066,6,900,"280",135,"Y","C/R",72.5,"Legal"
"389",6.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,463.08186,6,900,"280",135,"Y","C/R",72.5,"Legal"
"390",6.01,"Lutjanidae Pristipomoides filamentosus","Lutjanidae","Pristipomoides","filamentosus",1,576.46816,6,1000,"None",150,"Y","C/R",NA,"Legal"
"391",6.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,318.91276,6,800,"280",120,"Y","C/R",80,"Legal"
"392",6.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,510.89644,6,800,"280",120,"Y","C/R",80,"Legal"
"393",6.03,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,537.24613,6,900,"280",135,"Y","C/R",72.5,"Legal"
"394",6.03,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,515.37942,6,870,"410",130.5,"Y","C/R",139.75,"Legal"
"395",6.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,397.20938,6,800,"280",120,"Y","C/R",80,"Legal"
"397",6.04,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,484.64771,6,900,"280",135,"Y","C/R",72.5,"Legal"
"398",6.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,498.48199,6,900,"280",135,"Y","C/R",72.5,"Legal"
"399",6.05,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,427.14804,6,900,"280",135,"Y","C/R",72.5,"Legal"
"400",6.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,366.99478,6,800,"280",120,"Y","C/R",80,"Legal"
"401",6.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,448.27118,6,800,"280",120,"Y","C/R",80,"Legal"
"402",6.12,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,319.4335,6,800,"280",120,"Y","C/R",80,"Legal"
"404",6.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,488.94158,6,1160,"410",174,"Y","C/R",118,"Legal"
"405",6.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,540.88583,6,1160,"410",174,"Y","C/R",118,"Legal"
"406",7.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,371.88599,7,800,"280",120,"Y","C/R",80,"Legal"
"407",7.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,486.41607,7,900,"280",135,"Y","C/R",72.5,"Legal"
"408",7.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,425.92228,7,900,"280",135,"Y","C/R",72.5,"Legal"
"409",7.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,405.36608,7,900,"280",135,"Y","C/R",72.5,"Legal"
"410",7.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,505.74171,7,900,"280",135,"Y","C/R",72.5,"Legal"
"411",7.02,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,346.38243,7,800,"280",120,"Y","C/R",80,"Legal"
"413",7.03,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",1,1562.93999,7,3000,"None",450,"Y","C/R",NA,"Legal"
"414",7.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,381.08935,7,800,"280",120,"Y","C/R",80,"Legal"
"415",7.03,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,420.78621,7,800,"280",120,"Y","C/R",80,"Legal"
"416",7.03,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,443.3858,7,870,"410",130.5,"Y","C/R",139.75,"Legal"
"417",7.03,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,459.62474,7,870,"410",130.5,"Y","C/R",139.75,"Legal"
"418",7.03,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,467.99069,7,870,"410",130.5,"Y","C/R",139.75,"Legal"
"419",7.03,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,495.44856,7,1160,"410",174,"Y","C/R",118,"Legal"
"420",7.03,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,594.50869,7,1160,"410",174,"Y","C/R",118,"Legal"
"421",7.03,"Serranidae Epinephelus multinotatus","Serranidae","Epinephelus","multinotatus",1,680.90912,7,1000,"None",150,"Y","C/R",NA,"Legal"
"422",7.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,324.02551,7,800,"280",120,"Y","C/R",80,"Legal"
"423",7.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,352.4716,7,800,"280",120,"Y","C/R",80,"Legal"
"424",7.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,380.71738,7,800,"280",120,"Y","C/R",80,"Legal"
"425",7.04,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,311.07337,7,800,"280",120,"Y","C/R",80,"Legal"
"427",8.01,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,297.4292,8,800,"280",120,"Y","C/R",80,"Legal"
"433",8.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,488.91168,8,900,"280",135,"Y","C/R",72.5,"Legal"
"434",8.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,431.06134,8,900,"280",135,"Y","C/R",72.5,"Legal"
"435",8.01,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,441.34055,8,900,"280",135,"Y","C/R",72.5,"Legal"
"437",8.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,400.64667,8,900,"280",135,"Y","C/R",72.5,"Legal"
"438",8.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,403.22942,8,900,"280",135,"Y","C/R",72.5,"Legal"
"439",8.02,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,437.93935,8,900,"280",135,"Y","C/R",72.5,"Legal"
"440",8.02,"Serranidae Variola louti","Serranidae","Variola","louti",1,487.15201,8,830,"None",124.5,"Y","C/R",NA,"Legal"
"441",8.05,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",1,1163.92304,8,3000,"None",450,"Y","C/R",NA,"Legal"
"442",8.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,365.70335,8,800,"280",120,"Y","C/R",80,"Legal"
"443",8.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,345.61136,8,800,"280",120,"Y","C/R",80,"Legal"
"444",8.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,365.55546,8,800,"280",120,"Y","C/R",80,"Legal"
"445",8.05,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,374.34043,8,800,"280",120,"Y","C/R",80,"Legal"
"446",8.05,"Lethrinidae Lethrinus olivaceus","Lethrinidae","Lethrinus","olivaceus",1,395.01033,8,1000,"280",150,"Y","C/R",65,"Legal"
"448",8.05,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,520.59422,8,1160,"410",174,"Y","C/R",118,"Legal"
"449",8.05,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,423.58608,8,1160,"410",174,"Y","C/R",118,"Legal"
"450",8.06,"Carcharhinidae Carcharhinus albimarginatus","Carcharhinidae","Carcharhinus","albimarginatus",1,1070.28145,8,3000,"None",450,"Y","C/R",NA,"Legal"
"451",8.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,364.10906,8,800,"280",120,"Y","C/R",80,"Legal"
"452",8.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,388.99009,8,800,"280",120,"Y","C/R",80,"Legal"
"453",8.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,412.82391,8,800,"280",120,"Y","C/R",80,"Legal"
"454",8.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,390.96686,8,800,"280",120,"Y","C/R",80,"Legal"
"455",8.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,388.18605,8,800,"280",120,"Y","C/R",80,"Legal"
"456",8.06,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,436.61077,8,800,"280",120,"Y","C/R",80,"Legal"
"457",8.06,"Lutjanidae Aprion virescens","Lutjanidae","Aprion","virescens",1,808.96154,8,1120,"None",168,"Y","R",NA,"Legal"
"458",8.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,297.84225,8,800,"280",120,"Y","C/R",80,"Legal"
"459",8.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,387.9801,8,800,"280",120,"Y","C/R",80,"Legal"
"461",8.07,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,285.14432,8,800,"280",120,"Y","C/R",80,"Legal"
"464",8.07,"Lethrinidae Lethrinus nebulosus","Lethrinidae","Lethrinus","nebulosus",1,486.64106,8,870,"410",130.5,"Y","C/R",139.75,"Legal"
