sample,site,Longitude,Latitude,bathymetry,TPI,Slope,Aspect,TRI,Roughness,FlowDir,mean.relief,sd.relief,reef,sand,distance.to.ramp,status,target.fish
7.02,7,113.5533202,-22.7317466,-78.84509277,-0.023341466,0.00404349,5.166725159,0.0959692,0.343200684,16,1,0,0,100,51.95500557,NT,1
7.03,7,113.5554582,-22.72507859,-77.53735352,0.004049577,0.01038647,5.219932079,0.247848511,0.688362122,32,1,0,0,100,52.53762807,NT,9
7.04,7,113.5630603,-22.72760784,-70.3975296,-0.007190975,0.003842307,5.322223663,0.079574585,0.272659302,32,1,0,3.85,96.15,51.96415614,NT,4
7.05,7,113.5732756,-22.72875749,-67.77716827,-0.017988535,0.005962466,2.977003574,0.123558998,0.396377563,4,1,0,13.04,86.96,51.43505193,NT,0
7.08,7,113.5756513,-22.73059695,-67.58417511,-0.002994445,0.003004333,4.321118832,0.061403275,0.1977005,16,0.95,0.223606798,0,100,51.15286355,NT,0
8.01,8,113.5497567,-22.71266228,-89.07994843,0.063997298,0.01739599,4.754557133,0.532487869,1.269737244,16,1.074074074,0.549540082,11.11,88.89,54.03558608,NT,4
8.02,8,113.5559334,-22.70277523,-80.2089386,0.280671954,0.01822523,1.95766151,0.923624039,1.766220093,1,3.892857143,1.342724861,78.57,21.43,54.78657433,NT,4
8.05,8,113.57994,-22.7017,-64.92251587,NA,0.006335189,3.239687443,0.162524223,0.582641602,4,0.952380952,0.21821789,0,100,53.97640574,NT,8
8.06,8,113.58157,-22.69621,-63.82362366,-0.005367894,0.006586452,4.791672707,0.127264023,0.361862183,16,1.045454545,0.213200716,4.55,95.45,54.48894578,NT,8
8.07,8,113.57783,-22.69542,-65.54180145,0.053629816,0.006092034,3.946119547,0.157930374,0.386367798,4,1,0,0,100,54.70562677,NT,9
8.12,8,113.547381,-22.69932625,-99.5442276,-0.000509376,0.019153452,5.316059589,0.382938385,1.224098206,16,1.6,1.08012345,28,72,55.48798439,NT,8
9.01,9,113.5359779,-22.70139564,-117.5739899,-0.007870233,0.016334495,5.04556942,0.317340851,1.007080078,16,2.16,0.943398113,52,48,55.7627317,NT,9
9.02,9,113.5214865,-22.7025453,-162.6547241,0.011067392,0.048178557,5.126849651,0.939939499,3.154449463,32,1.619047619,0.74001287,33.33,66.67,56.29347605,NT,2
9.05,9,113.5248124,-22.69150858,-173.8242645,-0.018951567,0.046531655,5.137383461,0.911237717,3.201766968,32,1.04,0.2,4,96,57.24558459,NT,0
