"","ID","bathymetry","TPI","Slope","Aspect","TRI","Roughness","FlowDir","sample","longitude","latitude"
"1",1,-91.2396850585938,0.0143051110208035,0.00104734883643687,2.10566902160645,0.0225715637207031,0.0733871459960938,2,1.01,760704.413311933,7471076.48041096
"2",2,-94.3401260375977,0.000371442671166733,0.00277596293017268,4.05717658996582,0.0635747909545898,0.2210693359375,16,1.02,759139.088630274,7470848.59008539
"3",3,-99.8489837646484,0.00356643181294203,0.0050726025365293,3.73038148880005,0.16767692565918,0.47003173828125,1,1.03,757892.642934687,7471511.59557176
"4",4,-97.1697158813477,-0.00239802710711956,0.00838144868612289,3.44988012313843,0.217530250549316,0.750022888183594,16,1.04,758450.495929932,7471955.90421802
"5",5,-96.7271881103516,0.0250809881836176,0.00729125551879406,4.30391693115234,0.449636459350586,0.739852905273438,4,1.05,758216.838278325,7472636.27720843
"6",6,-94.5843734741211,-0.0248226933181286,0.00890852231532335,3.80089402198792,0.249538421630859,0.906295776367188,16,1.06,758979.268068639,7472915.01743188
"7",7,-81.7247085571289,-0.0247571039944887,0.00919785909354687,4.59210634231567,0.173381805419922,0.575553894042969,8,2.02,763004.116016707,7472845.65604815
"8",8,-78.1870956420898,-0.007967259734869,0.00992126017808914,4.31852245330811,0.201604843139648,0.780632019042969,8,2.03,763350.493164331,7473119.90043213
"9",9,-72.8922500610352,-0.017070796340704,0.00217538210563362,4.3829083442688,0.102385520935059,0.214218139648438,32,2.04,764969.402041116,7473601.24142786
"10",10,-72.8874969482422,0.0296640582382679,0.0061947638168931,4.3654260635376,0.121966361999512,0.457420349121094,8,2.05,764509.462089868,7473813.10915261
"11",11,-75.1748428344727,-0.00162152131088078,0.0016122538363561,3.98950362205505,0.0319671630859375,0.129676818847656,8,2.06,763950.150158343,7473924.77695965
"12",12,-75.0386276245117,-0.007967259734869,0.00864925887435675,0.685713350772858,0.20108699798584,0.654525756835938,64,2.07,763174.369978172,7474218.53435801
"13",13,-96.480842590332,0.0270705502480268,0.00672113988548517,4.90820837020874,0.357853889465332,0.809776306152344,4,3.01,758745.743647833,7474957.21476422
"14",14,-91.5525283813477,0.0810718238353729,0.0316032283008099,4.95205545425415,0.61186408996582,1.86285400390625,16,3.02,759312.517460543,7475278.7388283
"15",15,-83.0476226806641,0.000844992173369974,0.0142229897901416,5.02374696731567,0.281498908996582,0.838180541992188,16,3.03,760099.320257622,7475621.94921576
"16",16,-98.1128845214844,0.018197026103735,0.00417196936905384,4.38083600997925,0.127132415771484,0.370956420898438,16,3.04,758615.956024613,7475741.97444774
"17",17,-100.165252685547,0.00702428119257092,0.00790122430771589,5.19060230255127,0.16130256652832,0.503257751464844,16,3.05,758296.966025603,7475831.10092027
"18",18,-106.449340820312,0.0441330336034298,0.0215747412294149,4.13424444198608,0.461901664733887,1.19562530517578,8,3.06,757712.734910524,7475917.47360968
"19",19,-124.993957519531,0.00919750239700079,0.0088693629950285,5.17980432510376,0.186003684997559,0.580154418945312,32,4.01,756327.768621535,7475896.06173514
"20",20,-111.859069824219,-0.0110612129792571,0.0113864475861192,4.96484279632568,0.230007171630859,0.739540100097656,32,4.02,757761.980661702,7477537.13209278
"21",21,-126.652465820312,0.00580647261813283,0.0177351851016283,4.98507452011108,0.347391128540039,1.09354400634766,16,4.03,756715.622294866,7477564.91971529
"22",22,-132.675109863281,0.0054124086163938,0.0185149647295475,5.01205348968506,0.371124267578125,1.06912231445312,16,4.08,756503.34963061,7478001.61874967
"23",23,-139.217681884766,0.00829504430294037,0.0228212531656027,5.02968120574951,0.44801139831543,1.44340515136719,16,4.11,756263.638697649,7478260.43672
"24",24,-161.68571472168,-0.0477664805948734,0.0342995561659336,4.91698741912842,0.716157913208008,2.2833251953125,16,4.12,755405.747608773,7478045.60412148
"25",25,-73.2212829589844,-0.00556919910013676,0.00203699851408601,4.82171010971069,0.0929069519042969,0.248390197753906,16,5.02,761561.117810641,7478300.96113615
"26",26,-72.4108581542969,-0.00988351553678513,0.00230612512677908,3.16965079307556,0.0638008117675781,0.147247314453125,4,5.03,763024.901415358,7478220.26602795
"27",27,-72.1088485717773,-0.00809472799301147,0.00249110488221049,3.51449227333069,0.0512666702270508,0.187370300292969,4,5.07,764130.366829085,7479336.49672586
"28",28,-71.3705139160156,0.000325757340760902,0.00139661482535303,3.28338932991028,0.0307760238647461,0.0786590576171875,4,5.08,764053.420014444,7479859.46755705
"29",29,-70.7366104125977,0.00084868585690856,0.0013093106681481,3.38184404373169,0.039398193359375,0.102409362792969,8,5.11,764136.819139746,7480444.02039488
"30",30,-69.2760848999023,0.00335669633932412,0.000873600831255317,4.24764776229858,0.0261621475219727,0.0830841064453125,8,5.13,765256.776809132,7480642.51458716
"31",31,-87.0282821655273,-0.0373661145567894,0.0190305914729834,5.04817485809326,0.371758460998535,1.08244323730469,16,6.01,760385.517780946,7479608.73252559
"32",32,-72.2151718139648,0.0275996830314398,0.0121372463181615,5.98482799530029,0.236268997192383,0.742500305175781,64,6.02,762229.115109303,7480987.59022725
"33",33,-83.1422271728516,0.000699643511325121,0.0274847485125065,5.24029874801636,0.545831680297852,1.64270782470703,32,6.03,761020.116543353,7481079.31690973
"34",34,-89.4551010131836,-0.0159826818853617,0.0111505268141627,4.96158647537231,0.222273826599121,0.734268188476562,32,6.04,760863.057192233,7481723.50636682
"35",35,-90.9299240112305,0.0558300614356995,0.0123875411227345,4.84320116043091,0.235700607299805,0.747467041015625,32,6.05,760980.795984866,7482893.46094986
"36",36,-95.1537399291992,-0.0071238954551518,0.0194721538573503,4.49567461013794,0.384654998779297,1.27618408203125,16,6.12,761074.116123975,7484063.8338796
"37",37,-79.7921295166016,0.0926578640937805,0.0151014067232609,5.23420333862305,0.328592300415039,1.1463623046875,32,7.01,761994.724647816,7483640.36856162
"38",38,-78.8450927734375,-0.023341465741396,0.00404349016025662,5.16672515869141,0.0959692001342773,0.34320068359375,16,7.02,762243.663078039,7483916.33786622
"39",39,-77.537353515625,0.00404957681894302,0.0103864697739482,5.21993207931519,0.247848510742188,0.688362121582031,32,7.03,762476.090298544,7484651.19094084
"40",40,-70.3975296020508,-0.00719097536057234,0.00384230725467205,5.32222366333008,0.0795745849609375,0.272659301757812,32,7.04,763252.438954012,7484357.52638535
