"","aspect.mean.F"
"1",NA
"2",6.44650704393579
"3",3.51975297024978
"4",5.34099903638911
"5",3.7927979922655
"6",4.0220429305481
"7",11.2068934078078
"8",5.08123785145558
"9",9.43218759690125
"10",3.93836327066166
"11",8.93336492932638
"12",12.119316338933
"13",5.65731049640634
"14",3.95433463622738
"15",5.28999142568608
"16",2.95856690905854
"17",4.2361993914821
"18",4.54629055941652
"19",5.09900162275049
"20",3.92062392497415
"21",3.07990585900042
"22",4.22943908417159
"23",5.03119586674497
"24",4.27372567228943
"25",9.06279624705646
"26",4.6745500363578
"27",9.07832568365597
"28",4.34297087432882
"29",3.58620985014561
"30",2.91099732813106
"31",2.89618323688366
"32",7.37543207108781
"33",5.30940100009438
"34",6.12753913861215
"35",7.95112786061167
"36",4.23667807289797
"37",5.32499466112678
"38",3.35366386394962
"39",3.97319337634372
"40",3.23457601738006
"41",9.91384163433982
"42",5.03898904108287
"43",5.66952553703192
"44",4.15767168697544
"45",3.71407775283525
"46",3.9261061887422
"47",3.5042377194964
"48",4.20253243726515
"49",4.04172712131053
"50",5.83554586069851
"51",5.72642241908666
"52",4.6733777594543
"53",4.02967232007466
"54",4.1579707226557
"55",4.12005119389184
"56",6.27781508823477
"57",3.4132995496026
"58",4.01480880985288
"59",6.94630027178813
"60",3.90425034220906
"61",3.19466054073485
"62",5.06878927600142
"63",3.30038751107153
"64",6.76368909272311
"65",6.01049305456057
"66",7.01011222097134
"67",4.0672041106797
"68",5.11780819464633
"69",7.56116370976424
"70",12.2234979788015
"71",6.97146952463028
"72",3.79796126419196
"73",4.27031099928808
"74",3.86710381402993
"75",2.92774489248388
"76",4.13892177889543
"77",6.23918312636367
"78",8.34858631191246
"79",6.32142609975705
"80",4.6619528757177
"81",5.52965810115199
"82",4.50505456475254
"83",4.28703761899987
"84",6.28285507822158
"85",3.82924439844776
"86",5.4236382559722
"87",3.66439789339771
"88",5.06295103318915
"89",3.62264527867882
"90",4.22195774418913
"91",4.93894525594269
"92",5.25018660466962
"93",5.04122637568204
"94",8.61568211314206
"95",7.03069691111079
"96",4.66913333219502
"97",5.85250074530196
"98",5.31515744012537
"99",6.44293873364021
"100",3.77803180750538
"101",5.7370219542794
"102",12.3114059755349
"103",5.10864289906118
"104",4.40968495825246
"105",5.45584178508147
"106",4.36275181554686
"107",4.15289806307961
"108",6.04634750341899
"109",3.24220577748605
"110",6.88223509560912
"111",3.51004104003273
"112",6.23451832837898
"113",5.31957747942379
"114",3.61985616074531
"115",5.58912631220121
"116",6.80713488899863
"117",4.61887869323365
"118",6.29134114464783
"119",7.67023958595463
"120",9.18515716192801
"121",6.51497985675622
"122",4.23049806978496
"123",4.25612616104591
"124",3.9103826133876
"125",5.0236417151529
"126",6.67300374360851
"127",6.25711329944833
"128",6.74569560003867
"129",8.64273602912305
"130",7.16351974150547
"131",3.84759768648687
"132",7.4455963370062
"133",4.71210956671436
"134",4.15072780046655
"135",4.88573004227908
"136",7.97361997018
"137",8.71998026063552
"138",5.42656134116435
"139",4.98694031673462
"140",7.85585359935518
"141",4.88964183152477
"142",7.49314920339581
"143",8.23224057741527
"144",5.74418874845937
"145",6.05410972151324
"146",4.50943404454058
"147",5.06619163710228
"148",5.079183602898
"149",5.46060758526933
"150",5.83033427114557
"151",6.73340505159523
"152",4.38827922858034
"153",4.31410457582806
"154",5.14322131273119
"155",5.27089075370689
"156",3.36183111489032
"157",5.17096796730075
"158",3.47294511637644
"159",7.7319771759449
"160",4.9710789510099
"161",4.66668885704693
"162",3.45211780137795
"163",5.88455772940047
"164",3.65438849434544
"165",6.22335866881227
"166",4.72394147662235
"167",5.93829761569955
"168",3.47521165766452
"169",6.65451380606636
"170",12.2298697863654
"171",3.79485308318776
"172",6.06987398116408
"173",3.59948760099055
"174",6.99450188960861
"175",7.73400431675139
"176",6.15720480571328
"177",9.81881792937319
"178",3.0556699935334
"179",4.39938775765951
"180",8.60335561486771
"181",4.92986041282619
"182",4.6172565049917
"183",5.49986402115461
