"","aspect.mean.NT"
"1",NA
"2",16.5551186581315
"3",17.1132238770341
"4",9.66278739852405
"5",18.3647917033255
"6",10.6808738546475
"7",21.6158580735849
"8",13.7873882113734
"9",10.3047027312104
"10",23.9400209132004
"11",26.8213160506901
"12",17.484273204056
"13",13.8865002582919
"14",20.5040415632973
"15",19.5776480330304
"16",17.5965788276949
"17",20.4397861506056
"18",15.549771482438
"19",11.7438701284997
"20",13.2775429860731
"21",13.9374952463449
"22",17.9303090417427
"23",11.1128408757295
"24",15.7996591090952
"25",15.8000535097031
"26",8.17145140052206
"27",16.5727337998918
"28",18.475157108766
"29",14.3029738230043
"30",16.72149542305
"31",17.4209756958896
"32",8.68782595362705
"33",10.1219440350415
"34",16.1791467723506
"35",18.7806355040489
"36",28.9453567839635
"37",24.6856629683995
"38",21.2528896090234
"39",21.9844674356745
"40",13.3780076269383
"41",11.7310222619811
"42",16.0227945996825
"43",17.1748991811532
"44",16.7410427683874
"45",20.2057726011003
"46",14.1339418105915
"47",12.8364628259625
"48",13.3446121465041
"49",9.18094174761356
"50",24.6027732461763
"51",14.6878590733641
"52",23.0977109689479
"53",19.5718699599154
"54",20.9083754728311
"55",15.8150624240292
"56",16.2944470871401
"57",16.1047216104904
"58",19.954148769568
"59",8.34555795186948
"60",22.3370420745598
"61",7.39582097373277
"62",25.5767655154382
"63",13.4339248282322
"64",13.7862640304577
"65",18.2657419927604
"66",16.1214727936161
"67",18.3894484391022
"68",14.5774270419857
"69",10.7233554158219
"70",23.7051470569473
"71",7.77115934118872
"72",15.5220136854472
"73",17.3421490517182
"74",12.6277786735178
"75",10.7058054755686
"76",26.3708541051219
"77",17.69960683178
"78",10.9366286437022
"79",14.8393768493717
"80",5.43034767688457
"81",19.8925621917522
"82",13.5090787284742
"83",13.7499817144782
"84",20.3720424690024
"85",17.1066279434599
"86",13.2051010979903
"87",19.8842320248215
"88",17.9842269257578
"89",17.8087255245086
"90",22.7859229503554
"91",19.3980364918144
"92",12.3411375210492
"93",9.51635819839151
"94",16.8182119788895
"95",25.8425646767304
"96",22.8953234645024
"97",9.75786606848473
"98",26.391125768037
"99",27.4626278939495
"100",17.9154889131371
"101",19.6861354748712
"102",12.9164139286242
"103",18.8820005276975
"104",10.5778700481205
"105",11.4421401967349
"106",14.9530512522808
"107",15.4471140718886
"108",17.5432776959391
"109",13.3636308797844
"110",14.5939486429379
"111",10.0388991235421
"112",16.7667032344065
"113",24.7979952199219
"114",20.2983131302539
"115",19.0270615904224
"116",15.433357228546
"117",19.7080753180035
"118",12.9251892364789
"119",7.28845983763742
"120",17.9053563392105
"121",12.0445189676156
"122",19.832985773645
"123",22.9067564081236
"124",16.3503057228298
"125",10.3022540098593
"126",18.9868230621027
"127",17.8063740723352
"128",10.6026150484876
"129",11.043864590604
"130",20.732250499203
"131",19.5205120858544
"132",22.3975701525973
"133",15.2416688584023
"134",20.5832298373579
"135",12.4395172107068
"136",31.1622149592964
"137",17.2534338196643
"138",16.0382167370093
"139",26.9588873935175
"140",20.5686283532147
"141",18.3990372856741
"142",17.1778418943233
"143",21.6615595200444
"144",14.3573086507119
"145",13.3116773517374
"146",18.8105776312387
"147",19.0818043931759
"148",18.7250505595204
"149",5.7453656248244
"150",16.0265092991575
"151",12.8151666036033
"152",22.319310434296
"153",12.3298077194498
"154",21.763713631458
"155",11.6651617576954
"156",12.8808728318387
"157",20.1058711088051
"158",17.342473407453
