"campaignid","sample","family","genus","species","maxn"
"2019-08-Ningaloo_stereo-BRUVS",1.06,"Lutjanidae","Pristipomoides","typus",1
"2019-08-Ningaloo_stereo-BRUVS",1.06,"Scaridae","Scarus","ghobban",1
"2019-08-Ningaloo_stereo-BRUVS",1.06,"Serranidae","Epinephelus","areolatus",2
"2019-08-Ningaloo_stereo-BRUVS",1.06,"Sparidae","Argyrops","spinifer",4
"2019-08-Ningaloo_stereo-BRUVS",1.06,"Synodontidae","Saurida","undosquamis",1
"2019-08-Ningaloo_stereo-BRUVS",1.06,"Tetraodontidae","Lagocephalus","lunaris",1
"2019-08-Ningaloo_stereo-BRUVS",1.06,"Triakidae","Mustelus","ravidus",1
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Acanthuridae","Naso","hexacanthus",6
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Carangidae","Seriola","dumerili",1
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Carcharhinidae","Carcharhinus","plumbeus",1
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Echeneidae","Echeneis","naucrates",2
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Labridae","Bodianus","solatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Labridae","Choerodon","zamboangae",2
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Lethrinidae","Gymnocranius","grandoculis",3
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Lethrinidae","Gymnocranius","griseus",1
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Lethrinidae","Lethrinus","miniatus",5
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Lethrinidae","Lethrinus","ravus",2
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Mullidae","Parupeneus","spilurus",1
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Pomacanthidae","Pomacanthus","semicirculatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.01,"Serranidae","Epinephelus","areolatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.02,"Apogonidae","Cheilodipterus","quinquelineatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.02,"Labridae","Bodianus","solatus",3
"2019-08-Ningaloo_stereo-BRUVS",10.02,"Lethrinidae","Gymnocranius","griseus",1
"2019-08-Ningaloo_stereo-BRUVS",10.02,"Lethrinidae","Lethrinus","miniatus",8
"2019-08-Ningaloo_stereo-BRUVS",10.02,"Mullidae","Parupeneus","chrysopleuron",1
"2019-08-Ningaloo_stereo-BRUVS",10.02,"Pinguipedidae","Parapercis","nebulosa",3
"2019-08-Ningaloo_stereo-BRUVS",10.02,"Scaridae","Scarus","ghobban",1
"2019-08-Ningaloo_stereo-BRUVS",10.02,"Serranidae","Epinephelus","areolatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.02,"Serranidae","Epinephelus","rivulatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Acanthuridae","Acanthurus","mata",3
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Acanthuridae","Naso","hexacanthus",6
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Balistidae","Xanthichthys","lineopunctatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Caesionidae","Pterocaesio","chrysozona",42
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Carangidae","Carangoides","fulvoguttatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Chaetodontidae","Heniochus","diphreutes",3
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Haemulidae","Diagramma","pictum",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Holocentridae","Myripristis","botche",3
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Labridae","Bodianus","solatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Labridae","Labroides","dimidiatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Labridae","Pseudojuloides","sp1",3
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Labridae","Suezichthys","cyanolaemus",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Lethrinidae","Gymnocranius","grandoculis",3
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Lethrinidae","Lethrinus","miniatus",4
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Lethrinidae","Lethrinus","ravus",2
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Lethrinidae","Lethrinus","rubrioperculatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Lutjanidae","Lutjanus","quinquelineatus",42
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Lutjanidae","Lutjanus","vitta",3
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Lutjanidae","Pristipomoides","multidens",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Lutjanidae","Pristipomoides","typus",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Monacanthidae","Aluterus","monoceros",2
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Mullidae","Parupeneus","spilurus",6
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Nemipteridae","Scolopsis","affinis",3
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Pomacanthidae","Chaetodontoplus","personifer",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Pomacanthidae","Pomacanthus","semicirculatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Scaridae","Scarus","ghobban",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Serranidae","Cephalopholis","sonnerati",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Serranidae","Epinephelus","multinotatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Serranidae","Pseudanthias","cooperi",2
"2019-08-Ningaloo_stereo-BRUVS",10.03,"Serranidae","Variola","louti",2
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Ariidae","Netuma","thalassina",1
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Carangidae","Carangoides","caeruleopinnatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Carangidae","Carangoides","equula",1
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Carangidae","Decapterus","spp",1
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Carcharhinidae","Carcharhinus","plumbeus",1
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Carcharhinidae","Rhizoprionodon","acutus",1
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Lethrinidae","Gymnocranius","grandoculis",1
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Lutjanidae","Aphareus","furca",1
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Lutjanidae","Pristipomoides","multidens",1
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Sparidae","Dentex","carpenteri",28
"2019-08-Ningaloo_stereo-BRUVS",10.09,"Triakidae","Mustelus","ravidus",1
"2019-08-Ningaloo_stereo-BRUVS",10.11,"Ariidae","Netuma","thalassina",1
"2019-08-Ningaloo_stereo-BRUVS",10.11,"Carangidae","Carangoides","chrysophrys",1
"2019-08-Ningaloo_stereo-BRUVS",10.11,"Carangidae","Carangoides","equula",10
"2019-08-Ningaloo_stereo-BRUVS",10.11,"Carcharhinidae","Carcharhinus","sp10",1
"2019-08-Ningaloo_stereo-BRUVS",10.11,"Carcharhinidae","Galeocerdo","cuvier",1
"2019-08-Ningaloo_stereo-BRUVS",10.11,"Lethrinidae","Gymnocranius","grandoculis",2
"2019-08-Ningaloo_stereo-BRUVS",10.11,"Lutjanidae","Pristipomoides","multidens",3
"2019-08-Ningaloo_stereo-BRUVS",10.11,"Sparidae","Dentex","carpenteri",4
"2019-08-Ningaloo_stereo-BRUVS",10.11,"Triakidae","Hemitriakis","falcata",1
"2019-08-Ningaloo_stereo-BRUVS",10.12,"Carangidae","Carangoides","gymnostethus",1
"2019-08-Ningaloo_stereo-BRUVS",10.12,"Carcharhinidae","Loxodon","macrorhinus",1
"2019-08-Ningaloo_stereo-BRUVS",10.12,"Lutjanidae","Pristipomoides","multidens",5
"2019-08-Ningaloo_stereo-BRUVS",10.12,"Microdesmidae","Ptereleotris","sp1",1
"2019-08-Ningaloo_stereo-BRUVS",10.12,"Muraenidae","Gymnothorax","sp5",1
"2019-08-Ningaloo_stereo-BRUVS",10.12,"Sparidae","Dentex","carpenteri",1
"2019-08-Ningaloo_stereo-BRUVS",10.12,"Synodontidae","Saurida","undosquamis",1
"2019-08-Ningaloo_stereo-BRUVS",10.12,"Triakidae","Hemitriakis","falcata",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Apogonidae","Ostorhinchus","fasciatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Balistidae","Pseudobalistes","flavimarginatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Carangidae","Carangoides","fulvoguttatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Carangidae","Seriola","dumerili",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Cirrhitidae","Cyprinocirrhites","polyactis",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Labridae","Suezichthys","cyanolaemus",2
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Labridae","Unknown","sp7",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Lethrinidae","Gymnocranius","grandoculis",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Lethrinidae","Lethrinus","miniatus",4
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Lethrinidae","Lethrinus","olivaceus",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Lethrinidae","Lethrinus","ravus",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Lethrinidae","Lethrinus","rubrioperculatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Lutjanidae","Aphareus","furca",2
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Lutjanidae","Pristipomoides","filamentosus",3
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Lutjanidae","Symphorus","nematophorus",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Nemipteridae","Pentapodus","nagasakiensis",3
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Pinguipedidae","Parapercis","nebulosa",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Pomacanthidae","Chaetodontoplus","personifer",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Pomacanthidae","Pomacanthus","semicirculatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Scaridae","Scarus","ghobban",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Serranidae","Cephalopholis","spiloparaea",1
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Serranidae","Epinephelus","rivulatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.13,"Serranidae","Pseudanthias","cooperi",7
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Balistidae","Abalistes","filamentosus",1
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Balistidae","Sufflamen","fraenatum",1
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Carangidae","Carangoides","chrysophrys",1
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Carcharhinidae","Carcharhinus","plumbeus",1
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Echeneidae","Echeneis","naucrates",1
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Haemulidae","Diagramma","pictum",1
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Lethrinidae","Gymnocranius","grandoculis",5
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Lethrinidae","Lethrinus","nebulosus",2
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Lethrinidae","Lethrinus","rubrioperculatus",1
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Lutjanidae","Lutjanus","sebae",2
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Lutjanidae","Pristipomoides","multidens",1
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Serranidae","Epinephelus","areolatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Serranidae","Epinephelus","rivulatus",2
"2019-08-Ningaloo_stereo-BRUVS",10.14,"Sparidae","Argyrops","spinifer",1
"2019-08-Ningaloo_stereo-BRUVS",10.15,"Carangidae","Carangoides","caeruleopinnatus",1
