"campaignid","sample","family","genus","species"
"2019-08-Ningaloo_stereo-BRUVS",8.05,"Veliferidae","Velifer","hypselopterus"
"2019-08-Ningaloo_stereo-BRUVS",8.07,"Veliferidae","Velifer","hypselopterus"
"2019-08-Ningaloo_stereo-BRUVS",8.12,"Labridae","Choerodon","sp1"
"2019-08-Ningaloo_stereo-BRUVS",9.01,"Labridae","Unknown","sp1"
"2019-08-Ningaloo_stereo-BRUVS",9.02,"Nemipteridae","Parascolopsis","inermis"
"2019-08-Ningaloo_stereo-BRUVS",9.06,"Microdesmidae","Ptereleotris","sp1"
"2019-08-Ningaloo_stereo-BRUVS",9.06,"Muraenidae","Gymnothorax","sp8"
"2019-08-Ningaloo_stereo-BRUVS",9.06,"Muraenidae","Gymnothorax","thrysoideus"
"2019-08-Ningaloo_stereo-BRUVS",9.07,"Muraenidae","Gymnothorax","thrysoideus"
"2019-08-Ningaloo_stereo-BRUVS",9.08,"Muraenidae","Gymnothorax","sp1"
